URL,Page type,HTTP status,Final URL,Title,Title length,Title issue,Meta description,Meta description length,Meta issue,H1 count,H1 text,H1 issue,H2 list,H3 list,Canonical,Canonical issue,Robots,Robots issue,Sitemap included,Sitemap issue,Overall SEO status,Priority,Recommended fix
/why,public SEO page,200,/why,Why We Do What We Do | From The Trunk,37,,"A voice led story experience about why From the Trunk restores, authenticates, and recirculates pre-loved luxury sarees.",120,,1,A saree is never just fabric.,,Memory | Craft | Circular | Each piece arrives with a past. We help it carry forward. | To buy pre-loved is to choose beauty with memory.,"Not pre-owned, re-stored. | One-of-one | Authenticated | Care packed | Conscious",https://www.fromthetrunk.shop/why,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/sell-your-saree,public SEO page,200,/sell-your-saree,Sell Your Old Sarees Online | From The Trunk,44,,"Pass on old, vintage, or heirloom sarees through From the Trunk. Learn what we accept and how our review process works.",119,,1,Sell or consign sarees with a second story,,"A careful, respectful way to pass your saree into its next chapter. | A clear path, handled with care. | From your trunk to ours | Explore the next part of the trunk. | Everything you may want to ask first.",Authenticated | Condition noted | Story-led | Share the piece | We review with care | It is prepared | How do I sell my old saree? | What sarees can I submit? | Do you buy every old saree?,https://www.fromthetrunk.shop/sell-your-saree,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/packing,public SEO page,200,/packing,Packaging & Care | From The Trunk,33,,How we wrap and protect every pre-loved saree for its journey to you.,69,,1,Our Packaging,,Prepared With Care | What Comes in the Box | Before Dispatch | Receiving Your Saree | Related Support,,https://www.fromthetrunk.shop/packing,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/privacy-policy,policy page,200,/policies/privacy-policy,Privacy Policy | From The Trunk,31,,"How From The Trunk collects, uses and protects your personal information.",73,,1,Privacy Policy,,Information we collect | How we use your information | Consent and withdrawal | Sharing of information | Payment security | Cookies and similar technologies | Data retention | Your rights | Children's privacy | Security | Third-party links | Updates to this policy | Contact and grievance,,https://www.fromthetrunk.shop/policies/privacy-policy,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/return-refund-policy,policy page,200,/policies/return-refund-policy,Returns & Exchanges | From The Trunk,36,,From The Trunk's returns and exchange policy for pre-loved sarees — what's covered and how it works.,100,,1,Returns & Exchanges,,Return window | When a return is eligible | When a return is not eligible | Condition of returned item | How to request a return | Return approval and pickup | Quality check after return | Refund timeline | Shipping charges | Exchanges and store credit | Damaged or missing package | Final decision,,https://www.fromthetrunk.shop/policies/return-refund-policy,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/shipping-delivery-policy,policy page,200,/policies/shipping-delivery-policy,Shipping & Delivery | From The Trunk,36,,"How From The Trunk packs and ships your pre-loved saree — timelines, coverage and what to expect.",97,,1,Shipping & Delivery,,Processing time | Packaging | Courier partners | Delivery timelines | Shipping charges | Tracking | Delivery attempts | International shipping | Lost or damaged shipments | Unboxing recommendation,,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/terms-of-service,policy page,200,/policies/terms-of-service,Terms & Conditions | From The Trunk,35,,The terms that apply when you shop with or consign to From The Trunk.,69,,1,Terms & Conditions,,"About FTT | Product information | Colour and photography | Pricing | Orders and payments | Account, wishlist, and cart | Intellectual property and prohibited use | Limitation of liability | Governing law",,https://www.fromthetrunk.shop/policies/terms-of-service,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/authentication-condition-policy,policy page,200,/policies/authentication-condition-policy,Authentication & Condition Policy | From The Trunk,50,,"How we authenticate, grade, and document every pre-loved saree before it is listed.",83,,1,Authentication & Condition Policy,,Authentication | Condition check | Condition grades | Pre-loved character | Final check before dispatch | Authenticity guarantee,,https://www.fromthetrunk.shop/policies/authentication-condition-policy,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/care-packaging-policy,policy page,200,/policies/care-packaging-policy,Care & Packaging Policy | From The Trunk,40,,"How to store, wear, and care for your pre-loved saree, and how we package it.",77,,1,Care & Packaging Policy,,General care | Storage | Zari and delicate fabrics | Wearing care | Packaging | Damage after delivery,,https://www.fromthetrunk.shop/policies/care-packaging-policy,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/cancellation-policy,policy page,200,/policies/cancellation-policy,Cancellation Policy | From The Trunk,36,,"How and when an order can be cancelled by you, or by From the Trunk.",68,,1,Cancellation Policy,,Cancellation before dispatch | Cancellation after dispatch | Unique product hold | Cancellation by FTT | Cancellation charges,,https://www.fromthetrunk.shop/policies/cancellation-policy,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/sell-with-us-policy,policy page,200,/policies/sell-with-us-policy,Sell With Us Policy | From The Trunk,36,,How to submit a saree to From the Trunk for consignment and curation.,69,,1,Sell With Us Policy,,What you can submit | How to submit | Review process | Ownership confirmation | Pricing and commission | Rejection or return | Story and photography rights | Contact,,https://www.fromthetrunk.shop/policies/sell-with-us-policy,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies/grievance-redressal,policy page,200,/policies/grievance-redressal,Grievance Redressal Policy | From The Trunk,43,,"How to reach us, and how we acknowledge and resolve grievances.",63,,1,Grievance Redressal Policy,,Customer support | Grievance Officer | Complaint acknowledgement | Resolution timeline | What to include | Escalation,,https://www.fromthetrunk.shop/policies/grievance-redressal,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/fabric/silk,collection page,200,/collection/fabric/silk,Pre-Loved Silk Sarees Online India | From The Trunk,51,,"Shop authenticated pre-loved silk sarees from From the Trunk: restored, story-logged, and ready for another life.",113,,1,"Pre-loved silk sarees, authenticated and re-stored",,Questions shoppers ask,Indigo & Plum Tied Silk Saree | Green Garden Silk Burgundy Zari Edge | Teal moody silk saree | Rose silk | Red Blue Madras Check Cotton | Midnight Kesari Cotton Drape | Brown and Mustard light Silk | Soft Girl Selai Green | Nila Blue Gold Zari Silk | Kempu Pachai & Bandhani | Are these silk sarees new? | How should I care for a pre-loved silk saree?,https://www.fromthetrunk.shop/collection/fabric/silk,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/blouses,collection page,200,/blouses,Pre-Loved Saree Blouses | From The Trunk,40,,"Curated pre-loved and designer saree blouses to complete your drape — authenticated, one-of-a-kind pieces from From The Trunk.",126,,1,Pre-Loved & Designer Saree Blouses,,Questions shoppers ask,StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit | Sleeveless Black StretchFit | How often are new blouses added?,https://www.fromthetrunk.shop/blouses,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/guides/what-is-a-pre-loved-saree,public SEO page / guide,200,/guides/what-is-a-pre-loved-saree,What Is a Pre-Loved Saree? | From The Trunk,43,,"A clear guide to what pre-loved sarees mean, how they differ from ordinary second-hand pieces, and how From the Trunk prepares them.",132,,1,What is a pre-loved saree?,,"A quiet guide for choosing, caring for, and understanding pre-loved sarees. | A clear path, handled with care. | Read with confidence | Explore the next part of the trunk. | Everything you may want to ask first.",Authenticated | Condition noted | Story-led | Understand the piece | Trust the process | Choose consciously | Is pre-loved the same as damaged? | Why buy a pre-loved saree?,https://www.fromthetrunk.shop/guides/what-is-a-pre-loved-saree,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/guides/pre-loved-vs-second-hand-saree,public SEO page / guide,200,/guides/pre-loved-vs-second-hand-saree,Pre-Loved vs Second-Hand Sarees | From The Trunk,48,,"Understand how pre-loved sarees differ from ordinary second-hand listings, especially around condition, provenance, and curation.",129,,1,Pre-loved vs second-hand sarees,,"A quiet guide for choosing, caring for, and understanding pre-loved sarees. | A clear path, handled with care. | Read with confidence | Explore the next part of the trunk. | Everything you may want to ask first.",Authenticated | Condition noted | Story-led | Understand the piece | Trust the process | Choose consciously | Is pre-loved more expensive than second-hand? | Should I search for pre-loved or second-hand sarees?,https://www.fromthetrunk.shop/guides/pre-loved-vs-second-hand-saree,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/tangerine-noir-floral-border-weave,product page,200,/collection/tangerine-noir-floral-border-weave,Tangerine Noir Floral Border Weave – Pre-Loved Chiffon Saree | From The Trunk,77,,"Own 'Tangerine Noir Floral Border Weave', a one-of-a-kind pre-loved Chiffon saree authenticated by From The Trunk. Shipped with provenance.",139,,1,Tangerine Noir Floral Border Weave,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Rose Vine Stripe Chiffon Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,https://www.fromthetrunk.shop/collection/tangerine-noir-floral-border-weave,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/sunset-ombr-chiffon-draped-dream,product page,200,/collection/sunset-ombr-chiffon-draped-dream,Sunset Ombré Chiffon Draped Dream – Pre-Loved Georgette Saree | From The Trunk,78,,"Own 'Sunset Ombré Chiffon Draped Dream', a one-of-a-kind pre-loved Georgette saree authenticated by From The Trunk. Shipped with provenance.",140,,1,Sunset Ombré Chiffon Draped Dream,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,https://www.fromthetrunk.shop/collection/sunset-ombr-chiffon-draped-dream,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/indigo-plum-tied-silk-saree,product page,200,/collection/indigo-plum-tied-silk-saree,Indigo & Plum Tied Silk Saree | From The Trunk,46,,"Own 'Indigo & Plum Tied Silk Saree', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",131,,1,Indigo & Plum Tied Silk Saree,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse | StretchFit Blouse,https://www.fromthetrunk.shop/collection/indigo-plum-tied-silk-saree,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/forest-flame-tie-dye-silk,product page,200,/collection/forest-flame-tie-dye-silk,Forest & Flame Tie Dye Silk – Pre-Loved Silk Saree | From The Trunk,67,,"Own 'Forest & Flame Tie Dye Silk', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Before the loom, there. Shipped with provenance.",153,,1,Forest & Flame Tie Dye Silk,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | StretchFit Blouse | StretchFit Blouse,https://www.fromthetrunk.shop/collection/forest-flame-tie-dye-silk,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/moonstone-cream-mauve-border-saree,product page,200,/collection/moonstone-cream-mauve-border-saree,Moonstone Cream Mauve Border Saree – Pre-Loved Organza Saree | From The Trunk,77,,"Own 'Moonstone Cream Mauve Border Saree', a one-of-a-kind pre-loved Organza saree authenticated by From The Trunk. Shipped with provenance.",139,,1,Moonstone Cream Mauve Border Saree,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,https://www.fromthetrunk.shop/collection/moonstone-cream-mauve-border-saree,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/marigold-moss-cotton,product page,200,/collection/marigold-moss-cotton,Marigold & Moss cotton – Pre-Loved Cotton Saree | From The Trunk,64,,"Own 'Marigold & Moss cotton', a one-of-a-kind pre-loved Cotton saree authenticated by From The Trunk. Handwoven in a fine cotton. Shipped with provenance.",154,,1,Marigold & Moss cotton,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,https://www.fromthetrunk.shop/collection/marigold-moss-cotton,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/midnight-garden-georgette-saree,product page,200,/collection/midnight-garden-georgette-saree,Midnight Garden Georgette Saree | From The Trunk,48,,"Own 'Midnight Garden Georgette Saree', a one-of-a-kind pre-loved Georgette saree authenticated by From The Trunk. Shipped with provenance.",138,,1,Midnight Garden Georgette Saree,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Sunset Ombré Chiffon Draped Dream | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,https://www.fromthetrunk.shop/collection/midnight-garden-georgette-saree,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/verdant-bloom-silk-burgundy-gold-border,product page,200,/collection/verdant-bloom-silk-burgundy-gold-border,Green Garden Silk Burgundy Zari Edge – Pre-Loved Silk Saree | From The Trunk,76,,"Own 'Green Garden Silk Burgundy Zari Edge', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",138,,1,Green Garden Silk Burgundy Zari Edge,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,https://www.fromthetrunk.shop/collection/verdant-bloom-silk-burgundy-gold-border,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/pink-katan-triangle-zari-edge,product page,200,/collection/pink-katan-triangle-zari-edge,Pink Katan temple border – Pre-Loved Silk Saree | From The Trunk,64,,"Own 'Pink Katan temple border', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Temple borders of this. Shipped with provenance.",150,,1,Pink Katan temple border,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,https://www.fromthetrunk.shop/collection/pink-katan-triangle-zari-edge,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/forest-green-silk-black-gold,product page,200,/collection/forest-green-silk-black-gold,Forest green silk black gold – Pre-Loved Silk Saree | From The Trunk,68,,"Own 'Forest green silk black gold', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",130,,1,Forest green silk black gold,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,https://www.fromthetrunk.shop/collection/forest-green-silk-black-gold,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/teal-blue-moody-silk-drape,product page,200,/collection/teal-blue-moody-silk-drape,Teal moody silk saree | From The Trunk,38,,"Own 'Teal moody silk saree', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. There is a moment in the late. Shipped with provenance.",154,,1,Teal moody silk saree,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,https://www.fromthetrunk.shop/collection/teal-blue-moody-silk-drape,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/rose-silk-green-brown-stripe,product page,200,/collection/rose-silk-green-brown-stripe,Rose silk – Pre-Loved Silk Saree | From The Trunk,49,,"Own 'Rose silk', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Before a single thread was thrown across. Shipped with provenance.",153,,1,Rose silk,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,https://www.fromthetrunk.shop/collection/rose-silk-green-brown-stripe,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/mustard-organza-brown-border-drape,product page,200,/collection/mustard-organza-brown-border-drape,Harvest gold – Pre-Loved Organza Saree | From The Trunk,55,,"Own 'Harvest gold', a one-of-a-kind pre-loved Organza saree authenticated by From The Trunk. Organza of this character. Shipped with provenance.",144,,1,Harvest gold,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Moonstone Cream Mauve Border Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,https://www.fromthetrunk.shop/collection/mustard-organza-brown-border-drape,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/charcoal-gold-organza-heirloom-drape,product page,200,/collection/charcoal-gold-organza-heirloom-drape,Charcoal gold organza heirloom drape – Pre-Loved Organza Saree | From The Trunk,79,,"Own 'Charcoal gold organza heirloom drape', a one-of-a-kind pre-loved Organza saree authenticated by From The Trunk. Shipped with provenance.",141,,1,Charcoal gold organza heirloom drape,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Moonstone Cream Mauve Border Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,https://www.fromthetrunk.shop/collection/charcoal-gold-organza-heirloom-drape,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/beige-organza-peach-bloom,product page,200,/collection/beige-organza-peach-bloom,Beige Organza Peach Bloom Print – Pre-Loved Organza Saree | From The Trunk,74,,"Own 'Beige Organza Peach Bloom Print', a one-of-a-kind pre-loved Organza saree authenticated by From The Trunk. Shipped with provenance.",136,,1,Beige Organza Peach Bloom Print,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Moonstone Cream Mauve Border Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,https://www.fromthetrunk.shop/collection/beige-organza-peach-bloom,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/maroon-chettinad-cotton,product page,200,/collection/maroon-chettinad-cotton,Maroon chettinad cotton – Pre-Loved Cotton Saree | From The Trunk,65,,"Own 'Maroon chettinad cotton', a one-of-a-kind pre-loved Cotton saree authenticated by From The Trunk. Born on the handlooms of. Shipped with provenance.",153,,1,Maroon chettinad cotton,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,https://www.fromthetrunk.shop/collection/maroon-chettinad-cotton,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/deep-wine-organza,product page,200,/collection/deep-wine-organza,Deep wine organza – Pre-Loved Organza Saree | From The Trunk,60,,"Own 'Deep wine organza', a one-of-a-kind pre-loved Organza saree authenticated by From The Trunk. A sumptuous burgundy saree. Shipped with provenance.",150,,1,Deep wine organza,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Moonstone Cream Mauve Border Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,https://www.fromthetrunk.shop/collection/deep-wine-organza,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection/indigo-dusk-silk-cotton,product page,200,/collection/indigo-dusk-silk-cotton,Indigo Dusk – Pre-Loved Cotton Saree | From The Trunk,53,,"Own 'Indigo Dusk', a one-of-a-kind pre-loved Cotton saree authenticated by From The Trunk. A striking deep blue saree adorned. Shipped with provenance.",151,,1,Indigo Dusk,,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,https://www.fromthetrunk.shop/collection/indigo-dusk-silk-cotton,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
