Route/URL,Route file,Page/component file,Route group,Exists in app router?,Exists in sitemap?,Exists in nav?,Exists in footer?,Public/private/utility/admin,HTTP status in production build,Redirect target,Canonical,Robots,Indexability verdict,Notes
/collection/fabric/[fabric],app/(site)/collection/fabric/[fabric]/page.tsx,app/(site)/collection/fabric/[fabric]/page.tsx,(site),yes,yes,no,no,collection page,200,,https://www.fromthetrunk.shop/collection/fabric/silk,"index, follow",indexable,Representative URL: /collection/fabric/silk
/collection/occasion/[occasion],app/(site)/collection/occasion/[occasion]/page.tsx,app/(site)/collection/occasion/[occasion]/page.tsx,(site),yes,no,no,no,collection page,200,,https://www.fromthetrunk.shop/collection/occasion/festive,"noindex, follow",not indexable,Representative URL: /collection/occasion/festive
/collection,app/(site)/collection/page.tsx,app/(site)/collection/page.tsx,(site),yes,yes,yes,yes,collection page,200,,https://www.fromthetrunk.shop/collection,"index, follow",indexable,
/contact,app/(site)/contact/page.tsx,app/(site)/contact/page.tsx,(site),yes,yes,no,yes,public SEO page,200,,https://www.fromthetrunk.shop/contact,"index, follow",indexable,
/faqs,app/(site)/faqs/page.tsx,app/(site)/faqs/page.tsx,(site),yes,yes,no,yes,public SEO page,200,,https://www.fromthetrunk.shop/faqs,"index, follow",indexable,
/founders,app/(site)/founders/page.tsx,app/(site)/founders/page.tsx,(site),yes,no,no,no,redirect,308,/our-team,https://www.fromthetrunk.shop/our-team,"index, follow",not indexable,expected noindex missing
/guides/[slug],app/(site)/guides/[slug]/page.tsx,app/(site)/guides/[slug]/page.tsx,(site),yes,yes,yes,no,public SEO page / guide,200,,https://www.fromthetrunk.shop/guides/what-is-a-pre-loved-saree,"index, follow",indexable,Representative URL: /guides/what-is-a-pre-loved-saree
/how-it-works,app/(site)/how-it-works/page.tsx,app/(site)/how-it-works/page.tsx,(site),yes,yes,no,yes,public SEO page,200,,https://www.fromthetrunk.shop/how-it-works,"index, follow",indexable,
/our-story,app/(site)/our-story/page.tsx,app/(site)/our-story/page.tsx,(site),yes,yes,no,yes,public SEO page,200,,https://www.fromthetrunk.shop/our-story,"index, follow",indexable,
/our-team,app/(site)/our-team/page.tsx,app/(site)/our-team/page.tsx,(site),yes,yes,no,yes,public SEO page,200,,https://www.fromthetrunk.shop/our-team,"index, follow",indexable,
/packing,app/(site)/packing/page.tsx,app/(site)/packing/page.tsx,(site),yes,yes,no,yes,public SEO page,200,,https://www.fromthetrunk.shop/packing,"index, follow",indexable,
/,app/(site)/page.tsx,app/(site)/page.tsx,(site),yes,yes,yes,no,public SEO page,200,,https://www.fromthetrunk.shop,"index, follow",indexable,
/policies/[slug],app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,(site),yes,yes,no,yes,policy page,200,,https://www.fromthetrunk.shop/policies/privacy-policy,"index, follow",indexable,Representative URL: /policies/privacy-policy
/policies,app/(site)/policies/page.tsx,app/(site)/policies/page.tsx,(site),yes,yes,no,no,policy page,200,,https://www.fromthetrunk.shop/policies,"index, follow",indexable,
/privacy-policy,app/(site)/privacy-policy/page.tsx,app/(site)/privacy-policy/page.tsx,(site),yes,no,no,no,redirect,308,/policies/privacy-policy,https://www.fromthetrunk.shop/policies/privacy-policy,"index, follow",not indexable,expected noindex missing
/return-policy,app/(site)/return-policy/page.tsx,app/(site)/return-policy/page.tsx,(site),yes,no,no,no,redirect,308,/policies/return-refund-policy,https://www.fromthetrunk.shop/policies/return-refund-policy,"index, follow",not indexable,expected noindex missing
/search,app/(site)/search/page.tsx,app/(site)/search/page.tsx,(site),yes,no,no,no,utility page,200,,,"noindex, follow",not indexable,
/sell-your-saree,app/(site)/sell-your-saree/page.tsx,app/(site)/sell-your-saree/page.tsx,(site),yes,yes,yes,yes,public SEO page,200,,https://www.fromthetrunk.shop/sell-your-saree,"index, follow",indexable,
/shipping-policy,app/(site)/shipping-policy/page.tsx,app/(site)/shipping-policy/page.tsx,(site),yes,no,no,no,redirect,308,/policies/shipping-delivery-policy,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,"index, follow",not indexable,expected noindex missing
/terms-of-service,app/(site)/terms-of-service/page.tsx,app/(site)/terms-of-service/page.tsx,(site),yes,no,no,no,redirect,308,/policies/terms-of-service,https://www.fromthetrunk.shop/policies/terms-of-service,"index, follow",not indexable,expected noindex missing
/top-viewed,app/(site)/top-viewed/page.tsx,app/(site)/top-viewed/page.tsx,(site),yes,yes,no,no,collection page,200,,https://www.fromthetrunk.shop/top-viewed,"index, follow",indexable,
/why,app/(site)/why/page.tsx,app/(site)/why/page.tsx,(site),yes,yes,no,yes,public SEO page,200,,https://www.fromthetrunk.shop/why,"index, follow",indexable,
/faq,next.config.ts,n/a,redirect,redirect config/data,no,no,no,redirect,308,/faqs,https://www.fromthetrunk.shop/faqs,"index, follow",redirect/non-indexable,
/about,next.config.ts,n/a,redirect,redirect config/data,no,no,no,redirect,308,/our-story,https://www.fromthetrunk.shop/our-story,"index, follow",redirect/non-indexable,
/stories,next.config.ts,n/a,redirect,redirect config/data,no,no,no,redirect,308,/our-story,https://www.fromthetrunk.shop/our-story,"index, follow",redirect/non-indexable,
/founders,next.config.ts,n/a,redirect,redirect config/data,no,no,no,redirect,308,/our-team,https://www.fromthetrunk.shop/our-team,"index, follow",redirect/non-indexable,
/privacy-policy,next.config.ts,n/a,redirect,redirect config/data,no,no,no,redirect,308,/policies/privacy-policy,https://www.fromthetrunk.shop/policies/privacy-policy,"index, follow",redirect/non-indexable,
/terms-of-service,next.config.ts,n/a,redirect,redirect config/data,no,no,no,redirect,308,/policies/terms-of-service,https://www.fromthetrunk.shop/policies/terms-of-service,"index, follow",redirect/non-indexable,
/shipping-policy,next.config.ts,n/a,redirect,redirect config/data,no,no,no,redirect,308,/policies/shipping-delivery-policy,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,"index, follow",redirect/non-indexable,
/return-policy,next.config.ts,n/a,redirect,redirect config/data,no,no,no,redirect,308,/policies/return-refund-policy,https://www.fromthetrunk.shop/policies/return-refund-policy,"index, follow",redirect/non-indexable,
/collection,managed redirects table,n/a,redirect,redirect config/data,yes,no,no,redirect,200,/neel,https://www.fromthetrunk.shop/collection,"index, follow",redirect/non-indexable,"Proxy excludes /collection from managed redirect checks, so this DB row is inert in the rendered route."
/policies/privacy-policy,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,yes,policy page,200,,https://www.fromthetrunk.shop/policies/privacy-policy,"index, follow",indexable,
/policies/return-refund-policy,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,yes,policy page,200,,https://www.fromthetrunk.shop/policies/return-refund-policy,"index, follow",indexable,
/policies/shipping-delivery-policy,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,yes,policy page,200,,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,"index, follow",indexable,
/policies/terms-of-service,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,yes,policy page,200,,https://www.fromthetrunk.shop/policies/terms-of-service,"index, follow",indexable,
/policies/authentication-condition-policy,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,no,policy page,200,,https://www.fromthetrunk.shop/policies/authentication-condition-policy,"index, follow",indexable,
/policies/care-packaging-policy,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,no,policy page,200,,https://www.fromthetrunk.shop/policies/care-packaging-policy,"index, follow",indexable,
/policies/cancellation-policy,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,no,policy page,200,,https://www.fromthetrunk.shop/policies/cancellation-policy,"index, follow",indexable,
/policies/sell-with-us-policy,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,no,policy page,200,,https://www.fromthetrunk.shop/policies/sell-with-us-policy,"index, follow",indexable,
/policies/grievance-redressal,app/(site)/policies/[slug]/page.tsx,app/(site)/policies/[slug]/page.tsx,rendered crawl,yes,yes,no,no,policy page,200,,https://www.fromthetrunk.shop/policies/grievance-redressal,"index, follow",indexable,
/collection/fabric/silk,app/(site)/collection/fabric/[fabric]/page.tsx,app/(site)/collection/fabric/[fabric]/page.tsx,rendered crawl,yes,yes,no,no,collection page,200,,https://www.fromthetrunk.shop/collection/fabric/silk,"index, follow",indexable,
/guides/what-is-a-pre-loved-saree,app/(site)/guides/[slug]/page.tsx,app/(site)/guides/[slug]/page.tsx,rendered crawl,yes,yes,yes,no,public SEO page / guide,200,,https://www.fromthetrunk.shop/guides/what-is-a-pre-loved-saree,"index, follow",indexable,
/guides/pre-loved-vs-second-hand-saree,app/(site)/guides/[slug]/page.tsx,app/(site)/guides/[slug]/page.tsx,rendered crawl,yes,yes,yes,no,public SEO page / guide,200,,https://www.fromthetrunk.shop/guides/pre-loved-vs-second-hand-saree,"index, follow",indexable,
/collection/tangerine-noir-floral-border-weave,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/tangerine-noir-floral-border-weave,"index, follow",indexable,
/collection/sunset-ombr-chiffon-draped-dream,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/sunset-ombr-chiffon-draped-dream,"index, follow",indexable,
/collection/indigo-plum-tied-silk-saree,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/indigo-plum-tied-silk-saree,"index, follow",indexable,
/collection/forest-flame-tie-dye-silk,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/forest-flame-tie-dye-silk,"index, follow",indexable,
/collection/moonstone-cream-mauve-border-saree,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/moonstone-cream-mauve-border-saree,"index, follow",indexable,
/collection/marigold-moss-cotton,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/marigold-moss-cotton,"index, follow",indexable,
/collection/midnight-garden-georgette-saree,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/midnight-garden-georgette-saree,"index, follow",indexable,
/collection/verdant-bloom-silk-burgundy-gold-border,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/verdant-bloom-silk-burgundy-gold-border,"index, follow",indexable,
/collection/pink-katan-triangle-zari-edge,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/pink-katan-triangle-zari-edge,"index, follow",indexable,
/collection/forest-green-silk-black-gold,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/forest-green-silk-black-gold,"index, follow",indexable,
/collection/teal-blue-moody-silk-drape,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/teal-blue-moody-silk-drape,"index, follow",indexable,
/collection/rose-silk-green-brown-stripe,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/rose-silk-green-brown-stripe,"index, follow",indexable,
/collection/mustard-organza-brown-border-drape,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/mustard-organza-brown-border-drape,"index, follow",indexable,
/collection/charcoal-gold-organza-heirloom-drape,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/charcoal-gold-organza-heirloom-drape,"index, follow",indexable,
/collection/beige-organza-peach-bloom,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/beige-organza-peach-bloom,"index, follow",indexable,
/collection/maroon-chettinad-cotton,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/maroon-chettinad-cotton,"index, follow",indexable,
/collection/deep-wine-organza,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/deep-wine-organza,"index, follow",indexable,
/collection/indigo-dusk-silk-cotton,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/indigo-dusk-silk-cotton,"index, follow",indexable,
/collection/reddish-mango-cotton-orange-border,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/reddish-mango-cotton-orange-border,"index, follow",indexable,
/collection/magenta-cotton,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/magenta-cotton,"index, follow",indexable,
/collection/red-blue-madras-check-cotton,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/red-blue-madras-check-cotton,"index, follow",indexable,
/collection/twilight-orange-cotton-weave,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/twilight-orange-cotton-weave,"index, follow",indexable,
/collection/lime-and-gold-cotton-classic,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/lime-and-gold-cotton-classic,"index, follow",indexable,
/collection/midnight-tribe-gold-border-cotton,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/midnight-tribe-gold-border-cotton,"index, follow",indexable,
/collection/autumn-ember-golden-leaf-cotton,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/autumn-ember-golden-leaf-cotton,"index, follow",indexable,
/collection/orange-blossom-cotton-weave,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/orange-blossom-cotton-weave,"index, follow",indexable,
/collection/midnight-kesari-cotton-drape,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/midnight-kesari-cotton-drape,"index, follow",indexable,
/collection/blush-green-handwoven-cotton-drape,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/blush-green-handwoven-cotton-drape,"index, follow",indexable,
/collection/brown-kapi-cotton-black-line-border,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/brown-kapi-cotton-black-line-border,"index, follow",indexable,
/collection/brown-and-mustard-light-silk,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/brown-and-mustard-light-silk,"index, follow",indexable,
/collection/kesari-sunset-chiffon-saree,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/kesari-sunset-chiffon-saree,"index, follow",indexable,
/collection/magenta-mist-chiffon-drape,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/magenta-mist-chiffon-drape,"index, follow",indexable,
/collection/green-chiffon-with-fancy-border,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/green-chiffon-with-fancy-border,"index, follow",indexable,
/collection/rani-pink-georgette-garden-party,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/rani-pink-georgette-garden-party,"index, follow",indexable,
/collection/midnight-zari-georgette,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/midnight-zari-georgette,"index, follow",indexable,
/collection/pressed-bloom-sheer-chiffon,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/pressed-bloom-sheer-chiffon,"index, follow",indexable,
/collection/mayil-peacock-kanjivaram-mix,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/mayil-peacock-kanjivaram-mix,"index, follow",indexable,
/collection/burnt-orange-temple-border-kanjivaram,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/burnt-orange-temple-border-kanjivaram,"index, follow",indexable,
/collection/semmanjal-turmeric-gold-kanjeevaram,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/semmanjal-turmeric-gold-kanjeevaram,"index, follow",indexable,
/collection/thangam-golden-weave-kanjivaram,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/thangam-golden-weave-kanjivaram,"index, follow",indexable,
/collection/violet-bloom-cotton-drape,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/violet-bloom-cotton-drape,"index, follow",indexable,
/collection/moss-green-lightweight-silk-selai,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/moss-green-lightweight-silk-selai,"index, follow",indexable,
/collection/heritage-zari-border-kanjivaram,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/heritage-zari-border-kanjivaram,"index, follow",indexable,
/collection/nava-pazham-kanjeevaram-silk,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/nava-pazham-kanjeevaram-silk,"index, follow",indexable,
/collection/nila-blue-gold-zari-silk,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/nila-blue-gold-zari-silk,"index, follow",indexable,
/collection/colorful-vintage-kanjeevaram,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/colorful-vintage-kanjeevaram,"index, follow",indexable,
/collection/gulabi-kota-cotton,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/gulabi-kota-cotton,"index, follow",indexable,
/collection/kempu-pachai-and-bandhani,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/kempu-pachai-and-bandhani,"index, follow",indexable,
/collection/pachai-linen-golden-border-drape,app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,rendered crawl,yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/pachai-linen-golden-border-drape,"index, follow",indexable,
/_global-error,app/(site)/[...slug]/page.tsx,app/(site)/[...slug]/page.tsx,rendered crawl,yes,no,no,no,unknown / 404,404,,,noindex,not indexable,
/_not-found,app/(site)/[...slug]/page.tsx,app/(site)/[...slug]/page.tsx,rendered crawl,yes,no,no,no,unknown / 404,404,,,noindex,not indexable,
/.well-known/appspecific/com.chrome.devtools.json,app/(site)/[...slug]/page.tsx,app/(site)/[...slug]/page.tsx,rendered crawl,yes,no,no,no,API / metadata endpoint,500,,,,not indexable,
/collection/fabric/chiffon,app/(site)/collection/fabric/[fabric]/page.tsx,app/(site)/collection/fabric/[fabric]/page.tsx,rendered crawl,yes,no,no,no,collection page,200,,https://www.fromthetrunk.shop/collection/fabric/chiffon,"index, follow",indexable,indexable URL missing from sitemap
/collection/fabric/georgette,app/(site)/collection/fabric/[fabric]/page.tsx,app/(site)/collection/fabric/[fabric]/page.tsx,rendered crawl,yes,no,no,no,collection page,200,,https://www.fromthetrunk.shop/collection/fabric/georgette,"index, follow",indexable,indexable URL missing from sitemap
/collection/fabric/kanjeevaram,app/(site)/collection/fabric/[fabric]/page.tsx,app/(site)/collection/fabric/[fabric]/page.tsx,rendered crawl,yes,no,no,no,collection page,200,,https://www.fromthetrunk.shop/collection/fabric/kanjeevaram,"noindex, follow",not indexable,
/collection/occasion/festive,app/(site)/collection/occasion/[occasion]/page.tsx,app/(site)/collection/occasion/[occasion]/page.tsx,rendered crawl,yes,no,no,no,collection page,200,,https://www.fromthetrunk.shop/collection/occasion/festive,"noindex, follow",not indexable,
/collection/occasion/wedding,app/(site)/collection/occasion/[occasion]/page.tsx,app/(site)/collection/occasion/[occasion]/page.tsx,rendered crawl,yes,no,no,no,collection page,200,,https://www.fromthetrunk.shop/collection/occasion/wedding,"noindex, follow",not indexable,
/robots.txt,app/(site)/[...slug]/page.tsx,app/(site)/[...slug]/page.tsx,rendered crawl,yes,no,no,no,API / metadata endpoint,200,,,,not indexable,
/search?q=silk,app/(site)/search/page.tsx,app/(site)/search/page.tsx,rendered crawl,yes,no,no,no,utility page,200,,,"noindex, follow",not indexable,
/collection?fabric=silk,app/(site)/collection/page.tsx,app/(site)/collection/page.tsx,rendered crawl,yes,no,no,no,collection page,200,,https://www.fromthetrunk.shop/collection,"noindex, follow",not indexable,
/collection?occasion=wedding,app/(site)/collection/page.tsx,app/(site)/collection/page.tsx,rendered crawl,yes,no,no,no,collection page,200,,https://www.fromthetrunk.shop/collection,"noindex, follow",not indexable,
