Keyword/phrase,Phrase type,Pages where used,Used in title count,Used in meta count,Used in H1 count,Used in H2/H3 count,Used in URL count,Used in alt text count,Used in schema count,Total occurrences,Intent category,Notes
next story,bigram,/,0,0,0,1,0,1,0,2,unknown,
nila carries,bigram,/collection/nila-blue-gold-zari-silk,0,1,0,0,0,0,1,2,unknown,
nila carries that,trigram,/collection/nila-blue-gold-zari-silk,0,1,0,0,0,0,1,2,unknown,
no embellishment,bigram,/collection/maroon-chettinad-cotton | /collection/brown-kapi-cotton-black-line-border,0,0,0,0,0,0,2,2,unknown,
no embellishment to,trigram,/collection/maroon-chettinad-cotton | /collection/brown-kapi-cotton-black-line-border,0,0,0,0,0,0,2,2,unknown,
not eligible,bigram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,unknown,
not just a,trigram,/collection/semmanjal-turmeric-gold-kanjeevaram | /collection/pachai-linen-golden-border-drape,0,0,0,0,0,0,2,2,unknown,
nothing,unigram,/how-it-works,0,0,0,2,0,0,0,2,unknown,
nothing is,bigram,/how-it-works,0,0,0,2,0,0,0,2,unknown,
now ready,bigram,/collection/semmanjal-turmeric-gold-kanjeevaram | /collection/nila-blue-gold-zari-silk,0,0,0,0,0,0,2,2,unknown,
now ready to,trigram,/collection/semmanjal-turmeric-gold-kanjeevaram | /collection/nila-blue-gold-zari-silk,0,0,0,0,0,0,2,2,unknown,
now waits,bigram,/collection/rani-pink-georgette-garden-party | /collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,2,2,unknown,
of a garden,trigram,/collection/rose-silk-green-brown-stripe | /collection/green-chiffon-with-fancy-border,0,0,0,0,0,0,2,2,unknown,
of an evening,trigram,/collection/indigo-plum-tied-silk-saree | /collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,2,2,unknown,
of beauty,bigram,/collection/mayil-peacock-kanjivaram-mix | /collection/rose-vine-stripe-chiffon-saree,0,0,0,0,0,0,2,2,unknown,
of colour,bigram,/collection/indigo-plum-tied-silk-saree | /collection/autumn-ember-golden-leaf-cotton,0,0,0,0,0,0,2,2,unknown,
of colour that,trigram,/collection/indigo-plum-tied-silk-saree | /collection/autumn-ember-golden-leaf-cotton,0,0,0,0,0,0,2,2,unknown,
of day,bigram,/collection/autumn-ember-golden-leaf-cotton | /collection/coral-sunrise-chiffon-georgette-saree,0,0,0,0,0,0,2,2,unknown,
of everything,bigram,/collection/forest-green-silk-black-gold | /collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,2,2,unknown,
of everything that,trigram,/collection/forest-green-silk-black-gold | /collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,2,2,unknown,
of festive,bigram,/collection/deep-wine-organza | /collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,2,2,occasion,
of green that,trigram,/collection/green-chiffon-with-fancy-border | /collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,2,2,unknown,
of information,bigram,/policies/privacy-policy | /privacy-policy,0,0,0,2,0,0,0,2,unknown,
of its original,trigram,/collection/thangam-golden-weave-kanjivaram | /collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
of kanchipuram s,trigram,/collection/semmanjal-turmeric-gold-kanjeevaram | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,unknown,
of kesari,bigram,/collection/midnight-kesari-cotton-drape | /collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,2,2,unknown,
of liability,bigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,unknown,
of lime,bigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
of lime green,trigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
of lime green kissed,fourgram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
of marigold,bigram,/collection/marigold-moss-cotton | /collection/orange-blossom-cotton-weave,0,0,0,0,0,0,2,2,unknown,
of monsoon,bigram,/collection/lime-and-gold-cotton-classic | /collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,2,2,unknown,
of new,bigram,/collection/nava-pazham-kanjeevaram-silk | /collection/kempu-pachai-and-bandhani,0,0,0,0,0,0,2,2,unknown,
of pure,bigram,/collection/mayil-peacock-kanjivaram-mix | /collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,2,2,unknown,
of returned,bigram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,policy,
of returned item,trigram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,policy,
of someone,bigram,/collection/rani-pink-georgette-garden-party | /collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
of tamil nadu s,fourgram,/collection/maroon-chettinad-cotton | /collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
of the body,trigram,/collection/midnight-zari-georgette | /collection/violet-bloom-cotton-drape,0,0,0,0,0,0,2,2,unknown,
of the saree,trigram,/collection/marigold-moss-cotton | /collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,2,2,product,
of the wearer,trigram,/collection/sunset-ombr-chiffon-draped-dream | /collection/pink-katan-triangle-zari-edge,0,0,0,0,0,0,2,2,unknown,
of zari,bigram,/collection/mayil-peacock-kanjivaram-mix | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,fabric,
offer returns,bigram,/faqs | /faq,0,0,0,2,0,0,0,2,policy,
offering,unigram,/collection/pressed-bloom-sheer-chiffon | /collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,2,2,unknown,
often the,bigram,/collection/tangerine-noir-floral-border-weave | /collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,2,2,unknown,
on authenticity,bigram,/faqs | /faq,0,2,0,0,0,0,0,2,trust,
on authenticity sizing,trigram,/faqs | /faq,0,2,0,0,0,0,0,2,trust,
on authenticity sizing shipping,fourgram,/faqs | /faq,0,2,0,0,0,0,0,2,policy,
on the handlooms,trigram,/collection/maroon-chettinad-cotton,0,1,0,0,0,0,1,2,unknown,
on the handlooms of,fourgram,/collection/maroon-chettinad-cotton,0,1,0,0,0,0,1,2,unknown,
one of,bigram,/collection/brown-kapi-cotton-black-line-border | /collection/gulabi-kota-cotton,0,0,0,0,0,0,2,2,unknown,
one saree,bigram,/,0,0,0,1,0,1,0,2,product,
one saree many,trigram,/,0,0,0,1,0,1,0,2,product,
one saree many ways,fourgram,/,0,0,0,1,0,1,0,2,product,
one-of-a-kind pieces,bigram,/collection | /blouses,0,2,0,0,0,0,0,2,unknown,
one-of-one saree,bigram,/faqs | /faq,0,0,0,2,0,0,0,2,product,
one-of-one saree is,trigram,/faqs | /faq,0,0,0,2,0,0,0,2,product,
one-of-one saree is reserved,fourgram,/faqs | /faq,0,0,0,2,0,0,0,2,product,
online,unigram,/sell-your-saree | /collection/fabric/silk,2,0,0,0,0,0,0,2,unknown,
only handloom,bigram,/collection/moss-green-lightweight-silk-selai | /collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,2,2,unknown,
only natural fibre,trigram,/collection/marigold-moss-cotton | /collection/blush-green-handwoven-cotton-drape,0,0,0,0,0,0,2,2,unknown,
only speak,bigram,/collection/kesari-sunset-chiffon-saree | /collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,2,2,unknown,
only speak to,trigram,/collection/kesari-sunset-chiffon-saree | /collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,2,2,unknown,
only speak to the,fourgram,/collection/kesari-sunset-chiffon-saree | /collection/semmanjal-turmeric-gold-kanjeevaram,0,0,0,0,0,0,2,2,unknown,
only to be worn,fourgram,/collection/charcoal-gold-organza-heirloom-drape | /collection/violet-bloom-cotton-drape,0,0,0,0,0,0,2,2,unknown,
opens,unigram,/ | /collection/blush-green-handwoven-cotton-drape,0,0,0,0,0,1,1,2,unknown,
or consign to,trigram,/policies/terms-of-service | /terms-of-service,0,2,0,0,0,0,0,2,unknown,
or consign to from,fourgram,/policies/terms-of-service | /terms-of-service,0,2,0,0,0,0,0,2,unknown,
or damaged,bigram,/policies/shipping-delivery-policy | /shipping-policy,0,0,0,2,0,0,0,2,unknown,
or damaged shipments,trigram,/policies/shipping-delivery-policy | /shipping-policy,0,0,0,2,0,0,0,2,unknown,
or floral,bigram,/collection/burnt-orange-temple-border-kanjivaram | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,unknown,
or floral motifs,trigram,/collection/burnt-orange-temple-border-kanjivaram | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,unknown,
or missing,bigram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,unknown,
or missing package,trigram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,unknown,
or simply,bigram,/collection/thangam-golden-weave-kanjivaram | /collection/gulabi-kota-cotton,0,0,0,0,0,0,2,2,unknown,
orange a,bigram,/collection/reddish-mango-cotton-orange-border | /collection/burnt-orange-temple-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
orange and,bigram,/collection/twilight-orange-cotton-weave,0,0,0,0,0,0,2,2,unknown,
orange nor,bigram,/collection/reddish-mango-cotton-orange-border | /collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,2,2,unknown,
order,unigram,/contact | /policies/cancellation-policy,0,2,0,0,0,0,0,2,utility,
orders,unigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,utility,
orders and,bigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,utility,
orders and payments,trigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,utility,
ordinary second-hand,bigram,/guides/what-is-a-pre-loved-saree | /guides/pre-loved-vs-second-hand-saree,0,2,0,0,0,0,0,2,unknown,
organza of,bigram,/collection/mustard-organza-brown-border-drape,0,1,0,0,0,0,1,2,fabric,
organza of this,trigram,/collection/mustard-organza-brown-border-drape,0,1,0,0,0,0,1,2,fabric,
organza of this character,fourgram,/collection/mustard-organza-brown-border-drape,0,1,0,0,0,0,1,2,fabric,
original body,bigram,/collection/mustard-organza-brown-border-drape | /collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
original value,bigram,/collection/semmanjal-turmeric-gold-kanjeevaram | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,unknown,
our founders,bigram,/our-team | /founders,0,0,2,0,0,0,0,2,unknown,
our founders,exact phrase,/our-team | /founders,0,0,2,0,0,0,0,2,unknown,
our policies,bigram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
our policies in,trigram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
our policies in a,fourgram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
our team,bigram,/our-team | /founders,2,0,0,0,0,0,0,2,unknown,
our team | from the trunk,exact phrase,/our-team | /founders,2,0,0,0,0,0,0,2,brand,
our team from,trigram,/our-team | /founders,2,0,0,0,0,0,0,2,unknown,
our team from the,fourgram,/our-team | /founders,2,0,0,0,0,0,0,2,unknown,
own brown,bigram,/collection/brown-kapi-cotton-black-line-border | /collection/brown-and-mustard-light-silk,0,2,0,0,0,0,0,2,unknown,
own forest,bigram,/collection/forest-flame-tie-dye-silk | /collection/forest-green-silk-black-gold,0,2,0,0,0,0,0,2,unknown,
own good,bigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
own good time,trigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
own good time to,fourgram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
own indigo,bigram,/collection/indigo-plum-tied-silk-saree | /collection/indigo-dusk-silk-cotton,0,2,0,0,0,0,0,2,unknown,
own magenta,bigram,/collection/magenta-cotton | /collection/magenta-mist-chiffon-drape,0,2,0,0,0,0,0,2,unknown,
own rose,bigram,/collection/rose-silk-green-brown-stripe | /collection/rose-vine-stripe-chiffon-saree,0,2,0,0,0,0,0,2,unknown,
own story,bigram,/ | /collection/midnight-tribe-gold-border-cotton,0,1,0,0,0,0,1,2,unknown,
packs,unigram,/policies/shipping-delivery-policy | /shipping-policy,0,2,0,0,0,0,0,2,unknown,
packs and,bigram,/policies/shipping-delivery-policy | /shipping-policy,0,2,0,0,0,0,0,2,unknown,
packs and ships,trigram,/policies/shipping-delivery-policy | /shipping-policy,0,2,0,0,0,0,0,2,unknown,
packs and ships your,fourgram,/policies/shipping-delivery-policy | /shipping-policy,0,2,0,0,0,0,0,2,unknown,
pale,unigram,/collection/charcoal-gold-organza-heirloom-drape | /collection/blush-green-handwoven-cotton-drape,0,0,0,0,0,0,2,2,unknown,
pallu and,bigram,/collection/midnight-garden-georgette-saree | /collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,2,2,unknown,
pallu appears,bigram,/collection/pressed-bloom-sheer-chiffon | /collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
pallu is,bigram,/collection/burnt-orange-temple-border-kanjivaram | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,unknown,
pallu is where,trigram,/collection/burnt-orange-temple-border-kanjivaram | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,unknown,
part of yours,trigram,/collection/midnight-tribe-gold-border-cotton | /collection/rani-pink-georgette-garden-party,0,0,0,0,0,0,2,2,unknown,
particular joy,bigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
particular joy of,trigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
particular joy of lime,fourgram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
particular magic,bigram,/collection/sunset-ombr-chiffon-draped-dream | /collection/twilight-orange-cotton-weave,0,0,0,0,0,0,2,2,unknown,
partners,unigram,/policies/shipping-delivery-policy | /shipping-policy,0,0,0,2,0,0,0,2,unknown,
passed between,bigram,/collection/maroon-chettinad-cotton | /collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
passed on,bigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
passed on in,trigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
passed on in its,fourgram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
patient,unigram,/collection/forest-flame-tie-dye-silk | /collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,2,2,unknown,
pattern that,bigram,/collection/tangerine-noir-floral-border-weave | /collection/red-blue-madras-check-cotton,0,0,0,0,0,0,2,2,unknown,
patterns,unigram,/collection/midnight-zari-georgette | /collection/gulabi-kota-cotton,0,0,0,0,0,0,2,2,unknown,
payment methods,bigram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
payment methods do,trigram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
payment methods do you,fourgram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
payment security,bigram,/policies/privacy-policy | /privacy-policy,0,0,0,2,0,0,0,2,unknown,
payments,unigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,unknown,
perhaps,unigram,/collection/red-blue-madras-check-cotton | /collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,2,2,unknown,
personal information,bigram,/policies/privacy-policy | /privacy-policy,0,2,0,0,0,0,0,2,unknown,
pickup,unigram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,unknown,
picture,unigram,/collection/gulabi-kota-cotton,0,1,0,0,0,0,1,2,unknown,
picture this,bigram,/collection/gulabi-kota-cotton,0,1,0,0,0,0,1,2,unknown,
picture this a,trigram,/collection/gulabi-kota-cotton,0,1,0,0,0,0,1,2,unknown,
picture this a gorgeous,fourgram,/collection/gulabi-kota-cotton,0,1,0,0,0,0,1,2,unknown,
piece a,bigram,/collection/lime-and-gold-cotton-classic | /collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,2,2,unknown,
piece for,bigram,/collection/mustard-organza-brown-border-drape | /collection/magenta-mist-chiffon-drape,0,0,0,0,0,0,2,2,unknown,
piece is,bigram,/collection/maroon-chettinad-cotton | /collection/colorful-vintage-kanjeevaram,0,0,0,0,0,0,2,2,unknown,
piece is a,trigram,/collection/maroon-chettinad-cotton | /collection/colorful-vintage-kanjeevaram,0,0,0,0,0,0,2,2,unknown,
piece of,bigram,/collection/semmanjal-turmeric-gold-kanjeevaram | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,unknown,
piece remembered,bigram,/,0,0,0,1,0,1,0,2,unknown,
piece that would,trigram,/collection/reddish-mango-cotton-orange-border | /collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,2,2,unknown,
piece that would have,fourgram,/collection/reddish-mango-cotton-orange-border | /collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,2,2,unknown,
pink georgette pre-loved,trigram,/collection/rani-pink-georgette-garden-party | /collection/fabric/georgette,1,0,0,0,0,1,0,2,fabric,
pink georgette pre-loved georgette,fourgram,/collection/rani-pink-georgette-garden-party | /collection/fabric/georgette,1,0,0,0,0,1,0,2,fabric,
place,unigram,/collection/teal-blue-moody-silk-drape | /collection/magenta-cotton,0,0,0,0,0,0,2,2,unknown,
placed with,bigram,/collection/heritage-zari-border-kanjivaram | /collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,2,2,unknown,
policies in,bigram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
policies in a,trigram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
policies in a glimpse,fourgram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
policy for,bigram,/policies/return-refund-policy | /return-policy,0,2,0,0,0,0,0,2,policy,
policy for pre-loved,trigram,/policies/return-refund-policy | /return-policy,0,2,0,0,0,0,0,2,policy,
policy for pre-loved sarees,fourgram,/policies/return-refund-policy | /return-policy,0,2,0,0,0,0,0,2,product,
powerful,unigram,/collection/charcoal-gold-organza-heirloom-drape | /collection/midnight-zari-georgette,0,0,0,0,0,0,2,2,unknown,
practicality,unigram,/collection/magenta-cotton | /collection/mayil-peacock-kanjivaram-mix,0,0,0,0,0,0,2,2,unknown,
practice,unigram,/collection/forest-flame-tie-dye-silk | /collection/violet-bloom-cotton-drape,0,0,0,0,0,0,2,2,unknown,
pre,unigram,/guides/what-is-a-pre-loved-saree | /guides/pre-loved-vs-second-hand-saree,0,0,0,0,2,0,0,2,unknown,
pre-loved and second-hand,trigram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
pre-loved and second-hand sarees,fourgram,/faqs | /faq,0,0,0,2,0,0,0,2,product,
pre-loved and thoughtfully,trigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
pre-loved and thoughtfully preserved,fourgram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
pre-loved condition carrying,trigram,/collection/semmanjal-turmeric-gold-kanjeevaram | /collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,2,2,trust,
pre-loved georgette sarees from,fourgram,/collection/fabric/georgette,1,1,0,0,0,0,0,2,product,
pre-loved kanjeevaram mix,trigram,/collection/mayil-peacock-kanjivaram-mix,1,1,0,0,0,0,0,2,fabric,
pre-loved kanjeevaram mix saree,fourgram,/collection/mayil-peacock-kanjivaram-mix,1,1,0,0,0,0,0,2,product,
pre-loved kota,bigram,/collection/gulabi-kota-cotton,1,1,0,0,0,0,0,2,unknown,
pre-loved kota cotton,trigram,/collection/gulabi-kota-cotton,1,1,0,0,0,0,0,2,fabric,
pre-loved kota cotton saree,fourgram,/collection/gulabi-kota-cotton,1,1,0,0,0,0,0,2,product,
pre-loved linen,bigram,/collection/pachai-linen-golden-border-drape,1,1,0,0,0,0,0,2,fabric,
pre-loved linen blend,trigram,/collection/pachai-linen-golden-border-drape,1,1,0,0,0,0,0,2,fabric,
pre-loved linen blend saree,fourgram,/collection/pachai-linen-golden-border-drape,1,1,0,0,0,0,0,2,product,
pre-loved saree faqs,exact phrase,/faqs | /faq,0,0,2,0,0,0,0,2,product,
pre-loved saree faqs | from the trunk,exact phrase,/faqs | /faq,2,0,0,0,0,0,0,2,brand,
pre-loved saree faqs from,fourgram,/faqs | /faq,2,0,0,0,0,0,0,2,product,
pre-loved saree timelines,trigram,/policies/shipping-delivery-policy | /shipping-policy,0,2,0,0,0,0,0,2,product,
pre-loved saree timelines coverage,fourgram,/policies/shipping-delivery-policy | /shipping-policy,0,2,0,0,0,0,0,2,product,
pre-loved sarees and,trigram,/our-team | /founders,0,2,0,0,0,0,0,2,product,
pre-loved sarees and restored,fourgram,/our-team | /founders,0,2,0,0,0,0,0,2,product,
pre-loved sarees at,trigram,/faqs | /faq,0,2,0,0,0,0,0,2,product,
pre-loved sarees at from,fourgram,/faqs | /faq,0,2,0,0,0,0,0,2,product,
pre-loved sarees authentic,trigram,/faqs | /faq,0,0,0,2,0,0,0,2,product,
pre-loved sarees in,trigram,/faqs | /faq,0,0,0,2,0,0,0,2,product,
pre-loved sarees in india,fourgram,/faqs | /faq,0,0,0,2,0,0,0,2,product,
pre-loved sarees what,trigram,/policies/return-refund-policy | /return-policy,0,2,0,0,0,0,0,2,product,
pre-loved sarees what s,fourgram,/policies/return-refund-policy | /return-policy,0,2,0,0,0,0,0,2,product,
pre-loved vs,bigram,/guides/pre-loved-vs-second-hand-saree,1,0,1,0,0,0,0,2,unknown,
pre-loved vs second-hand,trigram,/guides/pre-loved-vs-second-hand-saree,1,0,1,0,0,0,0,2,unknown,
pre-loved vs second-hand sarees,fourgram,/guides/pre-loved-vs-second-hand-saree,1,0,1,0,0,0,0,2,product,
precise moment,bigram,/collection/reddish-mango-cotton-orange-border,0,1,0,0,0,0,1,2,unknown,
precise moment in,trigram,/collection/reddish-mango-cotton-orange-border,0,1,0,0,0,0,1,2,unknown,
precise moment in the,fourgram,/collection/reddish-mango-cotton-orange-border,0,1,0,0,0,0,1,2,unknown,
precision that,bigram,/collection/green-chiffon-with-fancy-border | /collection/nava-pazham-kanjeevaram-silk,0,0,0,0,0,0,2,2,unknown,
prepared,unigram,/sell-your-saree | /packing,0,0,0,2,0,0,0,2,unknown,
preserved this,bigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
preserved this saree,trigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,product,
preserved this saree arrives,fourgram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,product,
pressed checked,bigram,/,0,0,0,1,0,1,0,2,unknown,
pressed checked folded,trigram,/,0,0,0,1,0,1,0,2,unknown,
pressed checked folded and,fourgram,/,0,0,0,1,0,1,0,2,unknown,
previous keeper,bigram,/collection/magenta-mist-chiffon-drape | /collection/midnight-zari-georgette,0,0,0,0,0,0,2,2,unknown,
previous life,bigram,/collection/kesari-sunset-chiffon-saree | /collection/thangam-golden-weave-kanjivaram,0,0,0,0,0,0,2,2,unknown,
privacy policy,exact phrase,/policies/privacy-policy | /privacy-policy,0,0,2,0,0,0,0,2,policy,
privacy policy | from the trunk,exact phrase,/policies/privacy-policy | /privacy-policy,2,0,0,0,0,0,0,2,brand,
privacy policy from,trigram,/policies/privacy-policy | /privacy-policy,2,0,0,0,0,0,0,2,policy,
privacy policy from the,fourgram,/policies/privacy-policy | /privacy-policy,2,0,0,0,0,0,0,2,policy,
processing,unigram,/policies/shipping-delivery-policy | /shipping-policy,0,0,0,2,0,0,0,2,unknown,
processing time,bigram,/policies/shipping-delivery-policy | /shipping-policy,0,0,0,2,0,0,0,2,unknown,
product information,bigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,product,
prohibited,unigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,unknown,
prohibited use,bigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,unknown,
prominence,unigram,/collection/sunset-ombr-chiffon-draped-dream | /collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,2,2,unknown,
prominence in,bigram,/collection/sunset-ombr-chiffon-draped-dream | /collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,2,2,unknown,
property,unigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,unknown,
property and,bigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,unknown,
property and prohibited,trigram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,unknown,
property and prohibited use,fourgram,/policies/terms-of-service | /terms-of-service,0,0,0,2,0,0,0,2,unknown,
protects,unigram,/policies/privacy-policy | /privacy-policy,0,2,0,0,0,0,0,2,unknown,
protects your,bigram,/policies/privacy-policy | /privacy-policy,0,2,0,0,0,0,0,2,unknown,
protects your personal,trigram,/policies/privacy-policy | /privacy-policy,0,2,0,0,0,0,0,2,unknown,
protects your personal information,fourgram,/policies/privacy-policy | /privacy-policy,0,2,0,0,0,0,0,2,unknown,
puja a,bigram,/collection/pink-katan-triangle-zari-edge | /collection/mustard-organza-brown-border-drape,0,0,0,0,0,0,2,2,unknown,
quality check,bigram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,unknown,
quality check after,trigram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,unknown,
quality check after return,fourgram,/policies/return-refund-policy | /return-policy,0,0,0,2,0,0,0,2,policy,
questions answered,bigram,/faqs | /faq,0,0,0,2,0,0,0,2,unknown,
quiet guide,bigram,/guides/what-is-a-pre-loved-saree | /guides/pre-loved-vs-second-hand-saree,0,0,0,2,0,0,0,2,unknown,
quiet guide for,trigram,/guides/what-is-a-pre-loved-saree | /guides/pre-loved-vs-second-hand-saree,0,0,0,2,0,0,0,2,unknown,
quiet guide for choosing,fourgram,/guides/what-is-a-pre-loved-saree | /guides/pre-loved-vs-second-hand-saree,0,0,0,2,0,0,0,2,unknown,
quiet prominence,bigram,/collection/sunset-ombr-chiffon-draped-dream | /collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,2,2,unknown,
quiet prominence in,trigram,/collection/sunset-ombr-chiffon-draped-dream | /collection/pressed-bloom-sheer-chiffon,0,0,0,0,0,0,2,2,unknown,
quiet statement,bigram,/,0,0,0,1,0,1,0,2,unknown,
quiet statement from,trigram,/,0,0,0,1,0,1,0,2,unknown,
quiet statement from the,fourgram,/,0,0,0,1,0,1,0,2,unknown,
quiet testament,bigram,/collection/maroon-chettinad-cotton | /collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
quiet testament to,trigram,/collection/maroon-chettinad-cotton | /collection/heritage-zari-border-kanjivaram,0,0,0,0,0,0,2,2,unknown,
quite,unigram,/collection/magenta-cotton | /collection/kesari-sunset-chiffon-saree,0,0,0,0,0,0,2,2,unknown,
rani pink georgette pre-loved,fourgram,/collection/rani-pink-georgette-garden-party | /collection/fabric/georgette,1,0,0,0,0,1,0,2,fabric,
reaches for,bigram,/collection/marigold-moss-cotton | /collection/moss-green-lightweight-silk-selai,0,0,0,0,0,0,2,2,unknown,
read,unigram,/guides/what-is-a-pre-loved-saree | /guides/pre-loved-vs-second-hand-saree,0,0,0,2,0,0,0,2,unknown,
read with,bigram,/guides/what-is-a-pre-loved-saree | /guides/pre-loved-vs-second-hand-saree,0,0,0,2,0,0,0,2,unknown,
read with confidence,trigram,/guides/what-is-a-pre-loved-saree | /guides/pre-loved-vs-second-hand-saree,0,0,0,2,0,0,0,2,unknown,
ready for,bigram,/why | /collection/fabric/silk,0,1,0,0,0,1,0,2,unknown,
ready to be,trigram,/collection/lime-and-gold-cotton-classic,0,0,0,0,0,0,2,2,unknown,
