URL,Title,Title length,Title source,Meta description,Meta length,Meta source,Meta keywords,Robots,Canonical,Open Graph title,Open Graph description,Twitter title,Twitter description,Google verification tag if present,Other meta tags,Issues
/why,Why We Do What We Do | From The Trunk,37,app/(site)/why/page.tsx,"A voice led story experience about why From the Trunk restores, authenticates, and recirculates pre-loved luxury sarees.",120,lib/seo/route-metadata.ts,,"index, follow",https://www.fromthetrunk.shop/why,Why We Do What We Do,"A voice led story experience about why From the Trunk restores, authenticates, and recirculates pre-loved luxury sarees.",Why We Do What We Do,"A voice led story experience about why From the Trunk restores, authenticates, and recirculates pre-loved luxury sarees.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/sell-your-saree,Sell Your Old Sarees Online | From The Trunk,44,app/(site)/sell-your-saree/page.tsx,"Pass on old, vintage, or heirloom sarees through From the Trunk. Learn what we accept and how our review process works.",119,lib/seo/keyword-landing-pages.ts,,"index, follow",https://www.fromthetrunk.shop/sell-your-saree,Sell Your Old Sarees Online,"Pass on old, vintage, or heirloom sarees through From the Trunk. Learn what we accept and how our review process works.",Sell Your Old Sarees Online,"Pass on old, vintage, or heirloom sarees through From the Trunk. Learn what we accept and how our review process works.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/packing,Packaging & Care | From The Trunk,33,app/(site)/packing/page.tsx,How we wrap and protect every pre-loved saree for its journey to you.,69,app/(site)/packing/page.tsx,,"index, follow",https://www.fromthetrunk.shop/packing,Packaging & Care,How we wrap and protect every pre-loved saree for its journey to you.,Packaging & Care,How we wrap and protect every pre-loved saree for its journey to you.,,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/privacy-policy,Privacy Policy | From The Trunk,31,app/(site)/policies/[slug]/page.tsx,"How From The Trunk collects, uses and protects your personal information.",73,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/privacy-policy,Privacy Policy,"How From The Trunk collects, uses and protects your personal information.",Privacy Policy,"How From The Trunk collects, uses and protects your personal information.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/return-refund-policy,Returns & Exchanges | From The Trunk,36,app/(site)/policies/[slug]/page.tsx,From The Trunk's returns and exchange policy for pre-loved sarees — what's covered and how it works.,100,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/return-refund-policy,Returns & Exchanges,From The Trunk's returns and exchange policy for pre-loved sarees — what's covered and how it works.,Returns & Exchanges,From The Trunk's returns and exchange policy for pre-loved sarees — what's covered and how it works.,,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/shipping-delivery-policy,Shipping & Delivery | From The Trunk,36,app/(site)/policies/[slug]/page.tsx,"How From The Trunk packs and ships your pre-loved saree — timelines, coverage and what to expect.",97,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/shipping-delivery-policy,Shipping & Delivery,"How From The Trunk packs and ships your pre-loved saree — timelines, coverage and what to expect.",Shipping & Delivery,"How From The Trunk packs and ships your pre-loved saree — timelines, coverage and what to expect.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/terms-of-service,Terms & Conditions | From The Trunk,35,app/(site)/policies/[slug]/page.tsx,The terms that apply when you shop with or consign to From The Trunk.,69,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/terms-of-service,Terms & Conditions,The terms that apply when you shop with or consign to From The Trunk.,Terms & Conditions,The terms that apply when you shop with or consign to From The Trunk.,,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/authentication-condition-policy,Authentication & Condition Policy | From The Trunk,50,app/(site)/policies/[slug]/page.tsx,"How we authenticate, grade, and document every pre-loved saree before it is listed.",83,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/authentication-condition-policy,Authentication & Condition Policy,"How we authenticate, grade, and document every pre-loved saree before it is listed.",Authentication & Condition Policy,"How we authenticate, grade, and document every pre-loved saree before it is listed.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/care-packaging-policy,Care & Packaging Policy | From The Trunk,40,app/(site)/policies/[slug]/page.tsx,"How to store, wear, and care for your pre-loved saree, and how we package it.",77,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/care-packaging-policy,Care & Packaging Policy,"How to store, wear, and care for your pre-loved saree, and how we package it.",Care & Packaging Policy,"How to store, wear, and care for your pre-loved saree, and how we package it.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/cancellation-policy,Cancellation Policy | From The Trunk,36,app/(site)/policies/[slug]/page.tsx,"How and when an order can be cancelled by you, or by From the Trunk.",68,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/cancellation-policy,Cancellation Policy,"How and when an order can be cancelled by you, or by From the Trunk.",Cancellation Policy,"How and when an order can be cancelled by you, or by From the Trunk.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/sell-with-us-policy,Sell With Us Policy | From The Trunk,36,app/(site)/policies/[slug]/page.tsx,How to submit a saree to From the Trunk for consignment and curation.,69,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/sell-with-us-policy,Sell With Us Policy,How to submit a saree to From the Trunk for consignment and curation.,Sell With Us Policy,How to submit a saree to From the Trunk for consignment and curation.,,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies/grievance-redressal,Grievance Redressal Policy | From The Trunk,43,app/(site)/policies/[slug]/page.tsx,"How to reach us, and how we acknowledge and resolve grievances.",63,lib/legal/policies.ts,,"index, follow",https://www.fromthetrunk.shop/policies/grievance-redressal,Grievance Redressal Policy,"How to reach us, and how we acknowledge and resolve grievances.",Grievance Redressal Policy,"How to reach us, and how we acknowledge and resolve grievances.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/fabric/silk,Pre-Loved Silk Sarees Online India | From The Trunk,51,app/(site)/collection/fabric/[fabric]/page.tsx,"Shop authenticated pre-loved silk sarees from From the Trunk: restored, story-logged, and ready for another life.",113,lib/seo/keyword-landing-pages.ts,,"index, follow",https://www.fromthetrunk.shop/collection/fabric/silk,Pre-Loved Silk Sarees Online India,"Shop authenticated pre-loved silk sarees from From the Trunk: restored, story-logged, and ready for another life.",Pre-Loved Silk Sarees Online India,"Shop authenticated pre-loved silk sarees from From the Trunk: restored, story-logged, and ready for another life.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/blouses,Pre-Loved Saree Blouses | From The Trunk,40,app/(site)/blouses/page.tsx,"Curated pre-loved and designer saree blouses to complete your drape — authenticated, one-of-a-kind pieces from From The Trunk.",126,lib/seo/keyword-landing-pages.ts,,"index, follow",https://www.fromthetrunk.shop/blouses,Pre-Loved Saree Blouses,"Curated pre-loved and designer saree blouses to complete your drape — authenticated, one-of-a-kind pieces from From The Trunk.",Pre-Loved Saree Blouses,"Curated pre-loved and designer saree blouses to complete your drape — authenticated, one-of-a-kind pieces from From The Trunk.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/guides/what-is-a-pre-loved-saree,What Is a Pre-Loved Saree? | From The Trunk,43,app/(site)/guides/[slug]/page.tsx,"A clear guide to what pre-loved sarees mean, how they differ from ordinary second-hand pieces, and how From the Trunk prepares them.",132,lib/seo/keyword-landing-pages.ts,,"index, follow",https://www.fromthetrunk.shop/guides/what-is-a-pre-loved-saree,What Is a Pre-Loved Saree?,"A clear guide to what pre-loved sarees mean, how they differ from ordinary second-hand pieces, and how From the Trunk prepares them.",What Is a Pre-Loved Saree?,"A clear guide to what pre-loved sarees mean, how they differ from ordinary second-hand pieces, and how From the Trunk prepares them.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/guides/pre-loved-vs-second-hand-saree,Pre-Loved vs Second-Hand Sarees | From The Trunk,48,app/(site)/guides/[slug]/page.tsx,"Understand how pre-loved sarees differ from ordinary second-hand listings, especially around condition, provenance, and curation.",129,lib/seo/keyword-landing-pages.ts,,"index, follow",https://www.fromthetrunk.shop/guides/pre-loved-vs-second-hand-saree,Pre-Loved vs Second-Hand Sarees,"Understand how pre-loved sarees differ from ordinary second-hand listings, especially around condition, provenance, and curation.",Pre-Loved vs Second-Hand Sarees,"Understand how pre-loved sarees differ from ordinary second-hand listings, especially around condition, provenance, and curation.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/tangerine-noir-floral-border-weave,Tangerine Noir Floral Border Weave – Pre-Loved Chiffon Saree | From The Trunk,77,app/(site)/collection/[slug]/page.tsx,"Own 'Tangerine Noir Floral Border Weave', a one-of-a-kind pre-loved Chiffon saree authenticated by From The Trunk. Shipped with provenance.",139,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/tangerine-noir-floral-border-weave,Tangerine Noir Floral Border Weave – Pre-Loved Chiffon Saree,"Own 'Tangerine Noir Floral Border Weave', a one-of-a-kind pre-loved Chiffon saree authenticated by From The Trunk. Shipped with provenance.",Tangerine Noir Floral Border Weave – Pre-Loved Chiffon Saree,"Own 'Tangerine Noir Floral Border Weave', a one-of-a-kind pre-loved Chiffon saree authenticated by From The Trunk. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/sunset-ombr-chiffon-draped-dream,Sunset Ombré Chiffon Draped Dream – Pre-Loved Georgette Saree | From The Trunk,78,app/(site)/collection/[slug]/page.tsx,"Own 'Sunset Ombré Chiffon Draped Dream', a one-of-a-kind pre-loved Georgette saree authenticated by From The Trunk. Shipped with provenance.",140,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/sunset-ombr-chiffon-draped-dream,Sunset Ombré Chiffon Draped Dream – Pre-Loved Georgette Saree,"Own 'Sunset Ombré Chiffon Draped Dream', a one-of-a-kind pre-loved Georgette saree authenticated by From The Trunk. Shipped with provenance.",Sunset Ombré Chiffon Draped Dream – Pre-Loved Georgette Saree,"Own 'Sunset Ombré Chiffon Draped Dream', a one-of-a-kind pre-loved Georgette saree authenticated by From The Trunk. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/indigo-plum-tied-silk-saree,Indigo & Plum Tied Silk Saree | From The Trunk,46,app/(site)/collection/[slug]/page.tsx,"Own 'Indigo & Plum Tied Silk Saree', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",131,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/indigo-plum-tied-silk-saree,Indigo & Plum Tied Silk Saree,"Own 'Indigo & Plum Tied Silk Saree', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",Indigo & Plum Tied Silk Saree,"Own 'Indigo & Plum Tied Silk Saree', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/forest-flame-tie-dye-silk,Forest & Flame Tie Dye Silk – Pre-Loved Silk Saree | From The Trunk,67,app/(site)/collection/[slug]/page.tsx,"Own 'Forest & Flame Tie Dye Silk', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Before the loom, there. Shipped with provenance.",153,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/forest-flame-tie-dye-silk,Forest & Flame Tie Dye Silk – Pre-Loved Silk Saree,"Own 'Forest & Flame Tie Dye Silk', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Before the loom, there. Shipped with provenance.",Forest & Flame Tie Dye Silk – Pre-Loved Silk Saree,"Own 'Forest & Flame Tie Dye Silk', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Before the loom, there. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/moonstone-cream-mauve-border-saree,Moonstone Cream Mauve Border Saree – Pre-Loved Organza Saree | From The Trunk,77,app/(site)/collection/[slug]/page.tsx,"Own 'Moonstone Cream Mauve Border Saree', a one-of-a-kind pre-loved Organza saree authenticated by From The Trunk. Shipped with provenance.",139,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/moonstone-cream-mauve-border-saree,Moonstone Cream Mauve Border Saree – Pre-Loved Organza Saree,"Own 'Moonstone Cream Mauve Border Saree', a one-of-a-kind pre-loved Organza saree authenticated by From The Trunk. Shipped with provenance.",Moonstone Cream Mauve Border Saree – Pre-Loved Organza Saree,"Own 'Moonstone Cream Mauve Border Saree', a one-of-a-kind pre-loved Organza saree authenticated by From The Trunk. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/marigold-moss-cotton,Marigold & Moss cotton – Pre-Loved Cotton Saree | From The Trunk,64,app/(site)/collection/[slug]/page.tsx,"Own 'Marigold & Moss cotton', a one-of-a-kind pre-loved Cotton saree authenticated by From The Trunk. Handwoven in a fine cotton. Shipped with provenance.",154,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/marigold-moss-cotton,Marigold & Moss cotton – Pre-Loved Cotton Saree,"Own 'Marigold & Moss cotton', a one-of-a-kind pre-loved Cotton saree authenticated by From The Trunk. Handwoven in a fine cotton. Shipped with provenance.",Marigold & Moss cotton – Pre-Loved Cotton Saree,"Own 'Marigold & Moss cotton', a one-of-a-kind pre-loved Cotton saree authenticated by From The Trunk. Handwoven in a fine cotton. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/midnight-garden-georgette-saree,Midnight Garden Georgette Saree | From The Trunk,48,app/(site)/collection/[slug]/page.tsx,"Own 'Midnight Garden Georgette Saree', a one-of-a-kind pre-loved Georgette saree authenticated by From The Trunk. Shipped with provenance.",138,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/midnight-garden-georgette-saree,Midnight Garden Georgette Saree,"Own 'Midnight Garden Georgette Saree', a one-of-a-kind pre-loved Georgette saree authenticated by From The Trunk. Shipped with provenance.",Midnight Garden Georgette Saree,"Own 'Midnight Garden Georgette Saree', a one-of-a-kind pre-loved Georgette saree authenticated by From The Trunk. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/verdant-bloom-silk-burgundy-gold-border,Green Garden Silk Burgundy Zari Edge – Pre-Loved Silk Saree | From The Trunk,76,app/(site)/collection/[slug]/page.tsx,"Own 'Green Garden Silk Burgundy Zari Edge', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",138,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/verdant-bloom-silk-burgundy-gold-border,Green Garden Silk Burgundy Zari Edge – Pre-Loved Silk Saree,"Own 'Green Garden Silk Burgundy Zari Edge', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",Green Garden Silk Burgundy Zari Edge – Pre-Loved Silk Saree,"Own 'Green Garden Silk Burgundy Zari Edge', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection/pink-katan-triangle-zari-edge,Pink Katan temple border – Pre-Loved Silk Saree | From The Trunk,64,app/(site)/collection/[slug]/page.tsx,"Own 'Pink Katan temple border', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Temple borders of this. Shipped with provenance.",150,app/(site)/collection/[slug]/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection/pink-katan-triangle-zari-edge,Pink Katan temple border – Pre-Loved Silk Saree,"Own 'Pink Katan temple border', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Temple borders of this. Shipped with provenance.",Pink Katan temple border – Pre-Loved Silk Saree,"Own 'Pink Katan temple border', a one-of-a-kind pre-loved Silk saree authenticated by From The Trunk. Temple borders of this. Shipped with provenance.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
