File path,File type,SEO relevance,Important SEO strings found,Routes affected,Notes
app/(site)/collection/[slug]/page.tsx,.tsx,schema,"L1: import type { Metadata } from ""next""; | L16: import { ProductGallery } from ""@/components/product/product-gallery""; | L17: import { ProductCard } from ""@/components/product/product-card""; | L19: import { BlousePurchaseControls } from ""@/components/product/blouse-purchase-controls""; | L20: import { ProductViewTracker } from ""@/components/product/product-view-tracker""; | L21: import { RecentlyViewed } from ""@/components/product/recently-viewed""; | L22: import { WishlistButton } from ""@/components/product/wishlist-button""; | L23: import { RestockNotifyButton } from ""@/components/product/restock-notify-button""; | L39: import { productJsonLd, breadcrumbJsonLd, safeJsonLd } from ""@/lib/seo/json-ld""; | L40: import { buildPdpTitle, buildPdpDescription } from ""@/lib/seo/pdp-meta""; | L42: import { absoluteUrl } from ""@/lib/seo/site-url""; | L43: import { toSeoImageUrl } from ""@/lib/seo/image-urls"";",/collection/[slug],716 text lines scanned
app/(site)/collection/fabric/[fabric]/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L7: } from ""@/components/seo/keyword-product-landing-page""; | L11: } from ""@/lib/seo/keyword-landing-pages""; | L21: }: FabricLandingPageProps): Promise<Metadata> { | L24: if (!config) return { title: ""Fabric"" };",/collection/fabric/[fabric],43 text lines scanned
app/(site)/collection/loading.tsx,.tsx,other,L28: {/* Product grid skeleton */},,43 text lines scanned
app/(site)/collection/occasion/[occasion]/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L7: } from ""@/components/seo/keyword-product-landing-page""; | L11: } from ""@/lib/seo/keyword-landing-pages""; | L21: }: OccasionLandingPageProps): Promise<Metadata> { | L24: if (!config) return { title: ""Occasion"" };",/collection/occasion/[occasion],41 text lines scanned
app/(site)/collection/page.tsx,.tsx,schema,"L1: import type { Metadata } from ""next""; | L13: import { CollectionPageSizeSelect } from ""@/components/product/collection-page-size-select""; | L14: import { ProductCard } from ""@/components/product/product-card""; | L39: import { hasCollectionFilterParams } from ""@/lib/seo/collection-filter""; | L40: import { absoluteUrl } from ""@/lib/seo/site-url""; | L41: import { breadcrumbJsonLd, safeJsonLd } from ""@/lib/seo/json-ld""; | L42: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L43: import type { Collection, Product } from ""@/types/domain""; | L56: alt: ""From the Trunk collection banner alternate edit"", | L68: alt: ""From the Trunk blouse collection banner alternate edit"", | L89: // Binary blouse sleeve facet, resolved server-side from the ""sleeve"" product | L121: }: CollectionPageProps): Promise<Metadata> {",/collection,1589 text lines scanned
app/(site)/contact/page.tsx,.tsx,schema,"L1: import type { Metadata } from ""next""; | L8: import { contactPageJsonLd, safeJsonLd } from ""@/lib/seo/json-ld""; | L9: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L38: export const metadata: Metadata = publicPageMetadata({ | L39: title: ""Contact Us | From The Trunk Pre-Loved Sarees"", | L40: description:",/contact,150 text lines scanned
app/(site)/error.tsx,.tsx,other,,,44 text lines scanned
app/(site)/faqs/page.tsx,.tsx,schema,"L4: * Emits valid schema.org FAQPage JSON-LD inline via safeJsonLd() (</script> | L5: * injection-safe), so we keep the SEO benefit while rendering our own card UI | L9: import type { Metadata } from ""next""; | L13: import { FAQ_ITEMS, faqJsonLd } from ""@/lib/seo/faq-content""; | L14: import { safeJsonLd } from ""@/lib/seo/json-ld""; | L15: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L24: title: ""Pre-Loved Saree FAQs | From The Trunk"", | L25: description: faqDescription, | L32: export const metadata: Metadata = { | L34: title: { | L37: openGraph: { | L38: ...(faqBaseMetadata.openGraph ?? {}),",/faqs,167 text lines scanned
app/(site)/founders/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L6: export const metadata: Metadata = publicPageMetadata({ | L7: title: ""Founders & Contributors"", | L8: description:",/founders,16 text lines scanned
app/(site)/guides/[slug]/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { KeywordContentPage } from ""@/components/seo/keyword-content-page""; | L9: } from ""@/lib/seo/keyword-landing-pages""; | L17: }: GuidePageProps): Promise<Metadata> { | L20: if (!config) return { title: ""Guide"" };",/guides/[slug],36 text lines scanned
app/(site)/how-it-works/how-it-works-experience.tsx,.tsx,other,"L37: title: string; | L38: description: string; | L43: title: string; | L44: description: string; | L67: title: ""Authenticated"", | L68: description: ""Every piece is reviewed before it enters the collection."", | L72: title: ""Condition graded"", | L73: description: ""Marks, fabric strength, zari, and restoration needs are documented."", | L77: title: ""Re-stored"", | L78: description: ""We preserve the textile without erasing the life it has already lived."", | L111: title, | L112: description,",/how-it-works,645 text lines scanned
app/(site)/how-it-works/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L10: export const metadata: Metadata = publicPageMetadata({ | L11: title: ""How It Works — Buying & Authentication"", | L12: description: | L27: title: textOrFallback(howItWorksPage?.stepOneTitle, ""Sourcing""), | L28: description: textOrFallback( | L34: title: textOrFallback(howItWorksPage?.stepTwoTitle, ""Quality Control""), | L35: description: textOrFallback( | L41: title: textOrFallback(howItWorksPage?.stepThreeTitle, ""Eco-Restoration""), | L42: description: textOrFallback( | L48: title: textOrFallback(",/how-it-works,78 text lines scanned
app/(site)/layout.tsx,.tsx,schema,"L1: import type { Metadata } from ""next""; | L18: } from ""@/lib/seo/json-ld""; | L25: } from ""@/lib/seo/metadata""; | L44: export const metadata: Metadata = { | L45: title: { | L49: description: | L52: openGraph: { | L57: title: ""From The Trunk | Authenticated Pre-Loved Sarees in India"", | L58: description: | L62: twitter: { | L64: title: ""From The Trunk | Authenticated Pre-Loved Sarees in India"", | L65: description:",,136 text lines scanned
app/(site)/loading.tsx,.tsx,other,,,25 text lines scanned
app/(site)/not-found.tsx,.tsx,other,,,6 text lines scanned
app/(site)/opengraph-image.tsx,.tsx,other,,,70 text lines scanned
app/(site)/our-story/layout.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L6: export const metadata: Metadata = publicPageMetadata({ | L7: title: ""Our Story — Sarees With Provenance | From The Trunk"", | L8: description:",,16 text lines scanned
app/(site)/our-story/page.tsx,.tsx,page,"L56: title: ""Every saree deserves a second story."", | L70: title: ""Never just fabric."", | L84: title: ""A bridge between past and present."", | L98: title: ""Two women, one trunk."", | L119: title: ""Every saree worn again is one less made new."", | L133: title: ""At From the Trunk, we don’t just collect sarees."", | L1067: {chapter.title} | L1269: title: ""Honour"", | L1273: title: ""Preserve"", | L1277: title: ""Re-stored"", | L1286: <div key={idea.title}> | L1287: <p className=""font-serif text-2xl text-[#141D46]"">{idea.title}</p>",/our-story,1320 text lines scanned
app/(site)/our-team/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L6: export const metadata: Metadata = publicPageMetadata({ | L7: title: ""Our Team | From The Trunk"", | L8: description:",/our-team,16 text lines scanned
app/(site)/packing/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L6: export const metadata: Metadata = publicPageMetadata({ | L7: title: ""Packaging & Care"", | L8: description:",/packing,113 text lines scanned
app/(site)/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L27: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L29: import type { Product } from ""@/types/domain""; | L34: export const metadata: Metadata = publicPageMetadata({ | L35: title: ""Authenticated Pre-Loved Luxury Sarees | From The Trunk"", | L36: description: | L92: const featuredDocs = (featuredProducts?.docs ?? []) as Product[]; | L93: const allDocs = (allProducts?.docs ?? []) as Product[]; | L101: (product) => !featuredDocs.some((featured) => featured.id === product.id), | L105: .map((product) => { | L106: const image = resolveMediaURL(product.images?.[0]); | L109: const details = getProductDisplayDetails(product);",/,163 text lines scanned
app/(site)/policies/[slug]/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L6: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L18: }: PolicyPageProps): Promise<Metadata> { | L21: if (!policy) return { title: ""Policy"" }; | L23: title: policy.seoTitle ?? policy.title, | L24: description: policy.metaDescription ?? policy.description, | L59: {policy.h1 ?? policy.title} | L62: {policy.description} | L82: {section.title} | L98: {section.title} | L141: {relatedPolicy.title}",/policies/[slug],153 text lines scanned
app/(site)/policies/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L5: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L7: export const metadata: Metadata = publicPageMetadata({ | L8: title: ""Policies"", | L9: description: | L16: title: ""7-day return review"", | L20: title: ""Unique clarity"", | L24: title: ""Secure checkout"", | L28: title: ""Grievance support"", | L63: key={promise.title} | L67: {promise.title} | L89: {policy.title}",/policies,105 text lines scanned
app/(site)/privacy-policy/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L3: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L5: export const metadata: Metadata = publicPageMetadata({ | L6: title: ""Privacy Policy"", | L7: description:",/privacy-policy,140 text lines scanned
app/(site)/return-policy/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L3: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L5: export const metadata: Metadata = publicPageMetadata({ | L6: title: ""Return Policy"", | L7: description: ""Return and refund policy for purchases from From the Trunk."", | L33: of the nature of these items, we encourage you to review all product",/return-policy,106 text lines scanned
app/(site)/search/loading.tsx,.tsx,other,,,21 text lines scanned
app/(site)/search/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L6: import { ProductCard } from ""@/components/product/product-card""; | L9: import { CUSTOMER_NOINDEX_FOLLOW_ROBOTS } from ""@/lib/seo/route-metadata""; | L10: import type { Product } from ""@/types/domain""; | L14: export const metadata: Metadata = { | L15: title: ""Search"", | L16: robots: CUSTOMER_NOINDEX_FOLLOW_ROBOTS, | L27: let results: Product[] = []; | L32: results = result.products as unknown as Product[]; | L75: {results.map((product, index) => ( | L76: <ScrollReveal key={product.id} delay={index * 0.04}> | L77: <ProductCard product={product} />",/search,111 text lines scanned
app/(site)/sell-your-saree/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { KeywordContentPage } from ""@/components/seo/keyword-content-page""; | L8: } from ""@/lib/seo/keyword-landing-pages""; | L12: export const metadata: Metadata = config | L14: : { title: ""Sell Your Saree"" };",/sell-your-saree,20 text lines scanned
app/(site)/shipping-policy/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L6: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L8: export const metadata: Metadata = publicPageMetadata({ | L9: title: ""Shipping Policy"", | L10: description:",/shipping-policy,119 text lines scanned
app/(site)/template.tsx,.tsx,other,,,4 text lines scanned
app/(site)/terms-of-service/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L3: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L5: export const metadata: Metadata = publicPageMetadata({ | L6: title: ""Terms of Service"", | L7: description: | L42: pieces. Product descriptions, images, and provenance details are | L67: reserve the right to cancel orders if payment verification fails. | L85: All content on this site, including product descriptions,",/terms-of-service,130 text lines scanned
app/(site)/top-viewed/page.tsx,.tsx,schema,"L1: import type { Metadata } from ""next""; | L4: import { ProductCard } from ""@/components/product/product-card""; | L6: import { breadcrumbJsonLd, safeJsonLd } from ""@/lib/seo/json-ld""; | L7: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L8: import { absoluteUrl } from ""@/lib/seo/site-url""; | L12: export const metadata: Metadata = publicPageMetadata({ | L13: title: ""Most-Viewed Pre-Loved Sarees – Top Picks | From The Trunk"", | L14: description: | L51: aria-label=""Breadcrumb"" | L84: {products.map((product) => ( | L85: <ProductCard key={product.id} product={product} />",/top-viewed,110 text lines scanned
app/(site)/why/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { WHY_PAGE_METADATA } from ""@/lib/seo/route-metadata""; | L6: export const metadata: Metadata = WHY_PAGE_METADATA;",/why,38 text lines scanned
app/.DS_Store,[none],other,,,Binary/media filename inventoried; content not parsed
app/.well-known/appspecific/com.chrome.devtools.json/route.ts,.ts,test,,/.well-known/appspecific/com.chrome.devtools.json,6 text lines scanned
app/api/auth/[...nextauth]/route.ts,.ts,other,,/api/auth/[...nextauth],8 text lines scanned
app/api/preview/route.ts,.ts,other,"L26: import { redirect } from ""next/navigation""; | L63: // Redirect to the CMS page, carrying the token in the query so the | L66: redirect(`/${slug}?__preview_token=${encodeURIComponent(token ?? """")}`);",/api/preview,68 text lines scanned
app/api/v2/[...route]/route.ts,.ts,other,,/api/v2/[...route],13 text lines scanned
app/apple-icon.svg,.svg,media asset,,,Binary/media filename inventoried; content not parsed
app/favicon.ico,.ico,media asset,,,Binary/media filename inventoried; content not parsed
app/globals.css,.css,other,"L156: .ftt-product-card { | L164: .ftt-product-card > * { | L169: .ftt-product-card::before, | L170: .ftt-product-card::after { | L182: .ftt-product-card[data-ftt-cart-border=""running""], | L183: .ftt-product-card[data-ftt-cart-border=""added""], | L184: .ftt-product-card[data-ftt-in-bag=""true""] { | L191: .ftt-product-card::before { | L222: .ftt-product-card::after { | L227: .ftt-product-card[data-ftt-cart-border=""running""]::before, | L228: .ftt-product-card[data-ftt-cart-border=""running""]::after, | L229: .ftt-product-card[data-ftt-cart-border=""added""]::before,",,1023 text lines scanned
app/icon.svg,.svg,media asset,,,Binary/media filename inventoried; content not parsed
app/llms.txt/route.ts,.ts,other,"L9: * - A short site description at the top. | L13: * This route is force-dynamic so it always reflects the current product | L19: import { shouldIncludeProductInSeo } from ""@/lib/seo/product-indexing""; | L24: { title: ""Home"", path: ""/"" }, | L25: { title: ""Collection"", path: ""/collection"" }, | L26: { title: ""Our Story"", path: ""/our-story"" }, | L27: { title: ""Our Team"", path: ""/our-team"" }, | L28: { title: ""How It Works"", path: ""/how-it-works"" }, | L29: { title: ""Our Why"", path: ""/why"" }, | L30: { title: ""FAQs"", path: ""/faqs"" }, | L31: { title: ""Sell Your Saree"", path: ""/sell-your-saree"" }, | L33: title: ""What Is a Pre-Loved Saree"",",/llms.txt,85 text lines scanned
app/robots.ts,.ts,robots,"L3: import { absoluteUrl } from ""@/lib/seo/site-url""; | L5: export default function robots(): MetadataRoute.Robots { | L25: sitemap: absoluteUrl(""/sitemap.xml""),",/robots.txt,28 text lines scanned
app/sitemap.ts,.ts,sitemap,"L9: } from ""@/lib/seo/keyword-landing-pages""; | L10: import { productSeoImageUrls } from ""@/lib/seo/image-urls""; | L11: import { shouldIncludeProductInSeo } from ""@/lib/seo/product-indexing""; | L12: import { absoluteUrl } from ""@/lib/seo/site-url""; | L18: export default async function sitemap(): Promise<MetadataRoute.Sitemap> { | L25: const staticPages: MetadataRoute.Sitemap = [ | L106: const policyPages: MetadataRoute.Sitemap = policies.map((policy) => ({ | L113: const productPages: MetadataRoute.Sitemap = products | L115: .map((product) => { | L116: const images = productSeoImageUrls(product); | L119: url: absoluteUrl(`/collection/${product.slug}`), | L120: lastModified: new Date(product.updatedAt),",/sitemap.xml,172 text lines scanned
components/.DS_Store,[none],other,,,Binary/media filename inventoried; content not parsed
components/account/account-auth-frame.tsx,.tsx,other,"L10: title, | L17: title: string; | L38: {title} | L99: title=""Wishlist"" | L104: title=""Addresses"" | L109: title=""Orders"" | L134: title, | L138: title: string; | L144: <p className=""mt-3 text-sm font-semibold text-ftt-ivory"">{title}</p>",/account/sign-in | /account/sign-up,149 text lines scanned
components/account/account-shell.tsx,.tsx,other,"L28: description: ""Contact details"", | L34: description: ""Saved delivery"", | L40: description: ""Trunk history"", | L46: description: ""Saved pieces"", | L107: redirect: false, | L124: title=""Verified details"" | L129: title=""Saved pieces"" | L134: title=""Trunk history"" | L183: {link.description} | L201: title, | L205: title: string; | L216: {title}",,224 text lines scanned
components/account/order-payment-actions.tsx,.tsx,other,,/account/orders/[id],204 text lines scanned
components/account/otp-auth-panel.tsx,.tsx,other,"L226: redirect: false, | L406: Verification code | L696: redirect: false, | L828: Verification code",/[...slug] | /account/sign-in | /account/sign-up | /account/wishlist | /blouses | /checkout | /collection/[slug] | /collection/fabric/[fabric] | /collection/occasion/[occasion] | /collection | / | /search | /top-viewed,1032 text lines scanned
components/account/otp-code-input.tsx,.tsx,other,,/[...slug] | /account/sign-in | /account/sign-up | /account/wishlist | /blouses | /checkout | /collection/[slug] | /collection/fabric/[fabric] | /collection/occasion/[occasion] | /collection | / | /search | /top-viewed,81 text lines scanned
components/account/otp-resend-button.tsx,.tsx,other,,/[...slug] | /account/sign-in | /account/sign-up | /account/wishlist | /blouses | /checkout | /collection/[slug] | /collection/fabric/[fabric] | /collection/occasion/[occasion] | /collection | / | /search | /top-viewed,64 text lines scanned
components/account/otp-stepper.tsx,.tsx,other,,/[...slug] | /account/sign-in | /account/sign-up | /account/wishlist | /blouses | /checkout | /collection/[slug] | /collection/fabric/[fabric] | /collection/occasion/[occasion] | /collection | / | /search | /top-viewed,66 text lines scanned
components/account/signup-address-step.tsx,.tsx,other,,/[...slug] | /account/sign-in | /account/sign-up | /account/wishlist | /blouses | /checkout | /collection/[slug] | /collection/fabric/[fabric] | /collection/occasion/[occasion] | /collection | / | /search | /top-viewed,235 text lines scanned
components/address/suggest-input.tsx,.tsx,other,,/account/addresses | /checkout,104 text lines scanned
components/analytics/analytics-gate.tsx,.tsx,other,,,96 text lines scanned
components/analytics/consent-banner.tsx,.tsx,other,,,117 text lines scanned
components/analytics/cookie-settings-button.tsx,.tsx,other,,,40 text lines scanned
components/analytics/gtm-loader.tsx,.tsx,other,,,46 text lines scanned
components/analytics/gtm-page-view.tsx,.tsx,other,"L30: trackPageView(url, document.title);",,35 text lines scanned
components/analytics/track-page-view.tsx,.tsx,other,,/collection | /search,28 text lines scanned
components/analytics/use-consent-banner-variant.ts,.ts,other,,,70 text lines scanned
components/analytics/whatsapp-link.tsx,.tsx,other,,/404 | /contact | /guides/[slug] | /how-it-works | /sell-your-saree | /why,33 text lines scanned
components/animations/scroll-reveal.tsx,.tsx,other,,/[...slug] | / | /search,62 text lines scanned
components/cart/add-to-cart-button.tsx,.tsx,other,"L9: import { isBlouseProduct } from ""@/lib/products/product-type""; | L17: import { useLiveProductStock } from ""@/lib/realtime/use-live-product-stock""; | L19: import type { Product, StockStatus } from ""@/types/domain""; | L22: product: Product; | L28: * When absent (flag OFF), falls back to product.stockStatus — byte-identical | L44: product, | L52: state.items.find((item) => item.id === product.id), | L59: const image = resolveMediaURL(product.images?.[0]) ?? """"; | L60: const isBlouse = isBlouseProduct(product); | L68: // P4-05: use effectiveStockStatus when flag ON; fall back to product.stockStatus (flag OFF). | L69: initialStatus: (initialStatus ?? product.stockStatus) as StockStatus, | L70: productId: product.id,",/collection/[slug],205 text lines scanned
components/cart/cart-drawer.tsx,.tsx,other,"L286: title=""Opening your trunk..."" | L291: title=""Your bag is empty."" | L427: title, | L431: title: string; | L440: <p className=""mt-4 font-serif text-2xl text-[#141D46]"">{title}</p>",,463 text lines scanned
components/cart/cart-hero-shell.tsx,.tsx,other,,/cart,70 text lines scanned
components/cart/cart-hero-stats.tsx,.tsx,other,,/cart,40 text lines scanned
components/cart/cart-item.tsx,.tsx,other,,/cart,117 text lines scanned
components/cart/cart-page-client.tsx,.tsx,other,"L25: import type { Product } from ""@/types/domain""; | L29: featuredPicks: Product[]; | L172: title=""Opening your trunk..."" | L178: title=""Your bag is empty."" | L205: {featuredPicks.slice(0, 4).map((product, index) => ( | L207: key={product.id} | L208: product={product} | L398: title, | L402: title: string; | L411: <p className=""mt-5 font-serif text-3xl text-[#141D46]"">{title}</p> | L421: product, | L424: product: Product;",/cart,468 text lines scanned
components/catalog/mobile-filter-sheet.tsx,.tsx,other,"L35: title: string; | L161: aria-labelledby=""mobile-filter-title"" | L169: <h2 id=""mobile-filter-title"" className=""mt-1 font-serif text-2xl text-ftt-navy""> | L197: {group.title} | L221: title={option.label}",/collection,337 text lines scanned
components/checkout/address-autocomplete.tsx,.tsx,other,,/[...slug] | /account/addresses | /account/sign-in | /account/sign-up | /account/wishlist | /blouses | /checkout | /collection/[slug] | /collection/fabric/[fabric] | /collection/occasion/[occasion] | /collection | / | /search | /top-viewed,228 text lines scanned
components/checkout/billing-step.tsx,.tsx,other,"L54: description=""This address will be used for invoice and payment records.""",/checkout,74 text lines scanned
components/checkout/checkout-address-form.tsx,.tsx,other,"L28: description: string; | L51: description, | L74: {description}",/checkout,251 text lines scanned
components/checkout/checkout-auth-gate.tsx,.tsx,other,,/checkout,99 text lines scanned
