URL,Source file/helper,Schema type,Full @type path if nested,Main name,Description,Product fields present,Offer fields present,Breadcrumb fields present,FAQ fields present,Organization fields present,LocalBusiness fields present,Review/AggregateRating fields present,Valid JSON,Matches visible content?,Risk flags,Raw JSON reference location
/top-viewed,app/(site)/top-viewed/page.tsx | lib/seo/json-ld.ts,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L3RvcC12aWV3ZWQ-schema-1 in seo-inventory-raw.json
/top-viewed,app/(site)/top-viewed/page.tsx | lib/seo/json-ld.ts,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L3RvcC12aWV3ZWQ-schema-1 in seo-inventory-raw.json
/top-viewed,app/(site)/top-viewed/page.tsx | lib/seo/json-ld.ts,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3RvcC12aWV3ZWQ-schema-2 in seo-inventory-raw.json
/top-viewed,app/(site)/top-viewed/page.tsx | lib/seo/json-ld.ts,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3RvcC12aWV3ZWQ-schema-2 in seo-inventory-raw.json
/top-viewed,app/(site)/top-viewed/page.tsx | lib/seo/json-ld.ts,BreadcrumbList,root.@type,,,,,@context | @type | itemListElement,,,no,no,yes,uncertain,,page-L3RvcC12aWV3ZWQ-schema-3 in seo-inventory-raw.json
/top-viewed,app/(site)/top-viewed/page.tsx | lib/seo/json-ld.ts,ListItem,root.itemListElement[0].@type,,,,,@context | @type | itemListElement,,,no,no,yes,uncertain,,page-L3RvcC12aWV3ZWQ-schema-3 in seo-inventory-raw.json
/top-viewed,app/(site)/top-viewed/page.tsx | lib/seo/json-ld.ts,ListItem,root.itemListElement[1].@type,,,,,@context | @type | itemListElement,,,no,no,yes,uncertain,,page-L3RvcC12aWV3ZWQ-schema-3 in seo-inventory-raw.json
/top-viewed,app/(site)/top-viewed/page.tsx | lib/seo/json-ld.ts,ListItem,root.itemListElement[2].@type,,,,,@context | @type | itemListElement,,,no,no,yes,uncertain,,page-L3RvcC12aWV3ZWQ-schema-3 in seo-inventory-raw.json
/our-story,app/(site)/our-story/page.tsx,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L291ci1zdG9yeQ-schema-1 in seo-inventory-raw.json
/our-story,app/(site)/our-story/page.tsx,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L291ci1zdG9yeQ-schema-1 in seo-inventory-raw.json
/our-story,app/(site)/our-story/page.tsx,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L291ci1zdG9yeQ-schema-2 in seo-inventory-raw.json
/our-story,app/(site)/our-story/page.tsx,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L291ci1zdG9yeQ-schema-2 in seo-inventory-raw.json
/our-team,app/(site)/our-team/page.tsx,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L291ci10ZWFt-schema-1 in seo-inventory-raw.json
/our-team,app/(site)/our-team/page.tsx,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L291ci10ZWFt-schema-1 in seo-inventory-raw.json
/our-team,app/(site)/our-team/page.tsx,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L291ci10ZWFt-schema-2 in seo-inventory-raw.json
/our-team,app/(site)/our-team/page.tsx,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L291ci10ZWFt-schema-2 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L2ZhcXM-schema-1 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L2ZhcXM-schema-1 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L2ZhcXM-schema-2 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L2ZhcXM-schema-2 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,FAQPage,root.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[0].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[0].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[1].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[1].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[2].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[2].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[3].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[3].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[4].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[4].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[5].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[5].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[6].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[6].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[7].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[7].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[8].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[8].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[9].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[9].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[10].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[10].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[11].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[11].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[12].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[12].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[13].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[13].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[14].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[14].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[15].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/faqs,app/(site)/faqs/page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[15].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L2ZhcXM-schema-3 in seo-inventory-raw.json
/contact,app/(site)/contact/page.tsx | lib/seo/json-ld.ts,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L2NvbnRhY3Q-schema-1 in seo-inventory-raw.json
/contact,app/(site)/contact/page.tsx | lib/seo/json-ld.ts,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L2NvbnRhY3Q-schema-1 in seo-inventory-raw.json
/contact,app/(site)/contact/page.tsx | lib/seo/json-ld.ts,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L2NvbnRhY3Q-schema-2 in seo-inventory-raw.json
/contact,app/(site)/contact/page.tsx | lib/seo/json-ld.ts,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L2NvbnRhY3Q-schema-2 in seo-inventory-raw.json
/contact,app/(site)/contact/page.tsx | lib/seo/json-ld.ts,ContactPage,root.@type,From The Trunk,,,,,,@type | name | url,no,no,yes,uncertain,,page-L2NvbnRhY3Q-schema-3 in seo-inventory-raw.json
/contact,app/(site)/contact/page.tsx | lib/seo/json-ld.ts,OnlineStore,root.about.@type,From The Trunk,,,,,,@type | name | url,no,no,yes,uncertain,,page-L2NvbnRhY3Q-schema-3 in seo-inventory-raw.json
/contact,app/(site)/contact/page.tsx | lib/seo/json-ld.ts,OnlineStore,root.mainEntity.@type,From The Trunk,,,,,,@type | name | url,no,no,yes,uncertain,,page-L2NvbnRhY3Q-schema-3 in seo-inventory-raw.json
/contact,app/(site)/contact/page.tsx | lib/seo/json-ld.ts,ContactPoint,root.mainEntity.contactPoint.@type,From The Trunk,,,,,,@type | name | url,no,no,yes,uncertain,,page-L2NvbnRhY3Q-schema-3 in seo-inventory-raw.json
/how-it-works,app/(site)/how-it-works/page.tsx,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L2hvdy1pdC13b3Jrcw-schema-1 in seo-inventory-raw.json
/how-it-works,app/(site)/how-it-works/page.tsx,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L2hvdy1pdC13b3Jrcw-schema-1 in seo-inventory-raw.json
/how-it-works,app/(site)/how-it-works/page.tsx,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L2hvdy1pdC13b3Jrcw-schema-2 in seo-inventory-raw.json
/how-it-works,app/(site)/how-it-works/page.tsx,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L2hvdy1pdC13b3Jrcw-schema-2 in seo-inventory-raw.json
/authentication,app/(site)/authentication/page.tsx,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L2F1dGhlbnRpY2F0aW9u-schema-1 in seo-inventory-raw.json
/authentication,app/(site)/authentication/page.tsx,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L2F1dGhlbnRpY2F0aW9u-schema-1 in seo-inventory-raw.json
/authentication,app/(site)/authentication/page.tsx,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L2F1dGhlbnRpY2F0aW9u-schema-2 in seo-inventory-raw.json
/authentication,app/(site)/authentication/page.tsx,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L2F1dGhlbnRpY2F0aW9u-schema-2 in seo-inventory-raw.json
/policies,app/(site)/policies/page.tsx,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L3BvbGljaWVz-schema-1 in seo-inventory-raw.json
/policies,app/(site)/policies/page.tsx,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L3BvbGljaWVz-schema-1 in seo-inventory-raw.json
/policies,app/(site)/policies/page.tsx,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3BvbGljaWVz-schema-2 in seo-inventory-raw.json
/policies,app/(site)/policies/page.tsx,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3BvbGljaWVz-schema-2 in seo-inventory-raw.json
/why,app/(site)/why/page.tsx,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L3doeQ-schema-1 in seo-inventory-raw.json
/why,app/(site)/why/page.tsx,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L3doeQ-schema-1 in seo-inventory-raw.json
/why,app/(site)/why/page.tsx,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3doeQ-schema-2 in seo-inventory-raw.json
/why,app/(site)/why/page.tsx,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3doeQ-schema-2 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,OnlineStore,root.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-1 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,ContactPoint,root.contactPoint.@type,From The Trunk,"Curated collection of authenticated, pre-loved luxury sarees with provenance.",,,,,@context | @type | name | url | logo | email | sameAs | description | contactPoint,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-1 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,WebSite,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-2 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-2 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,BreadcrumbList,root.@type,,,,,@context | @type | itemListElement,,,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-3 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,ListItem,root.itemListElement[0].@type,,,,,@context | @type | itemListElement,,,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-3 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,ListItem,root.itemListElement[1].@type,,,,,@context | @type | itemListElement,,,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-3 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,WebPage,root.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-4 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,Organization,root.publisher.@type,From The Trunk,,,,,,@type | name | logo,no,no,yes,uncertain,,page-L3NlbGwteW91ci1zYXJlZQ-schema-4 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,FAQPage,root.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L3NlbGwteW91ci1zYXJlZQ-schema-5 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[0].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L3NlbGwteW91ci1zYXJlZQ-schema-5 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[0].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L3NlbGwteW91ci1zYXJlZQ-schema-5 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,Question,root.mainEntity[1].@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L3NlbGwteW91ci1zYXJlZQ-schema-5 in seo-inventory-raw.json
/sell-your-saree,app/(site)/sell-your-saree/page.tsx | components/seo/keyword-content-page.tsx | lib/seo/json-ld.ts,Answer,root.mainEntity[1].acceptedAnswer.@type,,,,,,@context | @type | mainEntity,,no,no,yes,yes - FAQ tests/source and rendered questions checked,,page-L3NlbGwteW91ci1zYXJlZQ-schema-5 in seo-inventory-raw.json
