Issue ID,Severity,Category,URL,File path,Issue,Evidence,Why it matters,Recommended fix,Safe before production?,Requires business decision?
RND-023,Low,title,/collection/moonstone-cream-mauve-border-saree,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,77 characters: Moonstone Cream Mauve Border Saree – Pre-Loved Organza Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-024,Low,title,/collection/verdant-bloom-silk-burgundy-gold-border,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,76 characters: Green Garden Silk Burgundy Zari Edge – Pre-Loved Silk Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-025,Low,title,/collection/forest-green-silk-black-gold,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,68 characters: Forest green silk black gold – Pre-Loved Silk Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-026,Low,title,/collection/charcoal-gold-organza-heirloom-drape,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,79 characters: Charcoal gold organza heirloom drape – Pre-Loved Organza Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-027,Low,title,/collection/beige-organza-peach-bloom,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,74 characters: Beige Organza Peach Bloom Print – Pre-Loved Organza Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-028,Low,title,/collection/magenta-cotton,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,73 characters: Magenta Cotton Gold Zari Border – Pre-Loved Cotton Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-029,Low,title,/collection/red-blue-madras-check-cotton,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,75 characters: Red Blue Madras Check Cotton – Pre-Loved Cotton Silk Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-030,Low,title,/collection/twilight-orange-cotton-weave,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,70 characters: Twilight Orange Cotton Weave – Pre-Loved Cotton Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-031,Low,title,/collection/lime-and-gold-cotton-classic,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,70 characters: Lime and Gold Cotton Classic – Pre-Loved Cotton Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-032,Low,title,/collection/midnight-tribe-gold-border-cotton,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,75 characters: Midnight Tribe Gold Border Cotton – Pre-Loved Cotton Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-033,Low,title,/collection/autumn-ember-golden-leaf-cotton,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,73 characters: Autumn Ember Golden Leaf Cotton – Pre-Loved Cotton Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-034,Low,title,/collection/orange-blossom-cotton-weave,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,69 characters: Orange Blossom Cotton Weave – Pre-Loved Cotton Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-035,Low,title,/collection/midnight-kesari-cotton-drape,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,68 characters: Midnight Kesari Cotton Drape – Pre-Loved Silk Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-036,Low,title,/collection/brown-and-mustard-light-silk,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,68 characters: Brown and Mustard light Silk – Pre-Loved Silk Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-037,Low,title,/collection/magenta-mist-chiffon-drape,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,69 characters: Magenta Mist Chiffon Drape – Pre-Loved Chiffon Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
