URL,H1 count,H1 text,H1 source file if traceable,H2 count,H2 list,H3 count,H3 list,Multiple H1 issue,Missing H1 issue,Mismatch with PDF/SOT if applicable,Recommended fix
/policies/privacy-policy,1,Privacy Policy,app/(site)/policies/[slug]/page.tsx,13,Information we collect | How we use your information | Consent and withdrawal | Sharing of information | Payment security | Cookies and similar technologies | Data retention | Your rights | Children's privacy | Security | Third-party links | Updates to this policy | Contact and grievance,0,,no,no,,No H1 correction identified.
/policies/return-refund-policy,1,Returns & Exchanges,app/(site)/policies/[slug]/page.tsx,12,Return window | When a return is eligible | When a return is not eligible | Condition of returned item | How to request a return | Return approval and pickup | Quality check after return | Refund timeline | Shipping charges | Exchanges and store credit | Damaged or missing package | Final decision,0,,no,no,,No H1 correction identified.
/policies/shipping-delivery-policy,1,Shipping & Delivery,app/(site)/policies/[slug]/page.tsx,10,Processing time | Packaging | Courier partners | Delivery timelines | Shipping charges | Tracking | Delivery attempts | International shipping | Lost or damaged shipments | Unboxing recommendation,0,,no,no,,No H1 correction identified.
/policies/terms-of-service,1,Terms & Conditions,app/(site)/policies/[slug]/page.tsx,9,"About FTT | Product information | Colour and photography | Pricing | Orders and payments | Account, wishlist, and cart | Intellectual property and prohibited use | Limitation of liability | Governing law",0,,no,no,,No H1 correction identified.
/policies/authentication-condition-policy,1,Authentication & Condition Policy,app/(site)/policies/[slug]/page.tsx,6,Authentication | Condition check | Condition grades | Pre-loved character | Final check before dispatch | Authenticity guarantee,0,,no,no,,No H1 correction identified.
/policies/care-packaging-policy,1,Care & Packaging Policy,app/(site)/policies/[slug]/page.tsx,6,General care | Storage | Zari and delicate fabrics | Wearing care | Packaging | Damage after delivery,0,,no,no,,No H1 correction identified.
/policies/cancellation-policy,1,Cancellation Policy,app/(site)/policies/[slug]/page.tsx,5,Cancellation before dispatch | Cancellation after dispatch | Unique product hold | Cancellation by FTT | Cancellation charges,0,,no,no,,No H1 correction identified.
/policies/sell-with-us-policy,1,Sell With Us Policy,app/(site)/policies/[slug]/page.tsx,8,What you can submit | How to submit | Review process | Ownership confirmation | Pricing and commission | Rejection or return | Story and photography rights | Contact,0,,no,no,,No H1 correction identified.
/policies/grievance-redressal,1,Grievance Redressal Policy,app/(site)/policies/[slug]/page.tsx,6,Customer support | Grievance Officer | Complaint acknowledgement | Resolution timeline | What to include | Escalation,0,,no,no,,No H1 correction identified.
/collection/fabric/silk,1,"Pre-loved silk sarees, authenticated and re-stored",app/(site)/collection/fabric/[fabric]/page.tsx,1,Questions shoppers ask,12,Indigo & Plum Tied Silk Saree | Green Garden Silk Burgundy Zari Edge | Teal moody silk saree | Rose silk | Red Blue Madras Check Cotton | Midnight Kesari Cotton Drape | Brown and Mustard light Silk | Soft Girl Selai Green | Nila Blue Gold Zari Silk | Kempu Pachai & Bandhani | Are these silk sarees new? | How should I care for a pre-loved silk saree?,no,no,,No H1 correction identified.
/blouses,1,Pre-Loved & Designer Saree Blouses,app/(site)/blouses/page.tsx,1,Questions shoppers ask,6,StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit | Sleeveless Black StretchFit | How often are new blouses added?,no,no,,No H1 correction identified.
/guides/what-is-a-pre-loved-saree,1,What is a pre-loved saree?,app/(site)/guides/[slug]/page.tsx,5,"A quiet guide for choosing, caring for, and understanding pre-loved sarees. | A clear path, handled with care. | Read with confidence | Explore the next part of the trunk. | Everything you may want to ask first.",8,Authenticated | Condition noted | Story-led | Understand the piece | Trust the process | Choose consciously | Is pre-loved the same as damaged? | Why buy a pre-loved saree?,no,no,,No H1 correction identified.
/guides/pre-loved-vs-second-hand-saree,1,Pre-loved vs second-hand sarees,app/(site)/guides/[slug]/page.tsx,5,"A quiet guide for choosing, caring for, and understanding pre-loved sarees. | A clear path, handled with care. | Read with confidence | Explore the next part of the trunk. | Everything you may want to ask first.",8,Authenticated | Condition noted | Story-led | Understand the piece | Trust the process | Choose consciously | Is pre-loved more expensive than second-hand? | Should I search for pre-loved or second-hand sarees?,no,no,,No H1 correction identified.
/collection/tangerine-noir-floral-border-weave,1,Tangerine Noir Floral Border Weave,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Rose Vine Stripe Chiffon Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/sunset-ombr-chiffon-draped-dream,1,Sunset Ombré Chiffon Draped Dream,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
/collection/indigo-plum-tied-silk-saree,1,Indigo & Plum Tied Silk Saree,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/forest-flame-tie-dye-silk,1,Forest & Flame Tie Dye Silk,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | StretchFit Blouse | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/moonstone-cream-mauve-border-saree,1,Moonstone Cream Mauve Border Saree,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
/collection/marigold-moss-cotton,1,Marigold & Moss cotton,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/midnight-garden-georgette-saree,1,Midnight Garden Georgette Saree,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Sunset Ombré Chiffon Draped Dream | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/verdant-bloom-silk-burgundy-gold-border,1,Green Garden Silk Burgundy Zari Edge,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/pink-katan-triangle-zari-edge,1,Pink Katan temple border,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/forest-green-silk-black-gold,1,Forest green silk black gold,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/teal-blue-moody-silk-drape,1,Teal moody silk saree,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/rose-silk-green-brown-stripe,1,Rose silk,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/mustard-organza-brown-border-drape,1,Harvest gold,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Moonstone Cream Mauve Border Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/charcoal-gold-organza-heirloom-drape,1,Charcoal gold organza heirloom drape,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Moonstone Cream Mauve Border Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/beige-organza-peach-bloom,1,Beige Organza Peach Bloom Print,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Moonstone Cream Mauve Border Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/maroon-chettinad-cotton,1,Maroon chettinad cotton,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/deep-wine-organza,1,Deep wine organza,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Moonstone Cream Mauve Border Saree | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/indigo-dusk-silk-cotton,1,Indigo Dusk,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/reddish-mango-cotton-orange-border,1,Reddish mango,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/magenta-cotton,1,Magenta Cotton Gold Zari Border,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/red-blue-madras-check-cotton,1,Red Blue Madras Check Cotton,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
/collection/twilight-orange-cotton-weave,1,Twilight Orange Cotton Weave,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/lime-and-gold-cotton-classic,1,Lime and Gold Cotton Classic,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/midnight-tribe-gold-border-cotton,1,Midnight Tribe Gold Border Cotton,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/autumn-ember-golden-leaf-cotton,1,Autumn Ember Golden Leaf Cotton,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/orange-blossom-cotton-weave,1,Orange Blossom Cotton Weave,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/midnight-kesari-cotton-drape,1,Midnight Kesari Cotton Drape,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/blush-green-handwoven-cotton-drape,1,Blush green,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/brown-kapi-cotton-black-line-border,1,Brown Kapi Cotton,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Black StretchFit | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/brown-and-mustard-light-silk,1,Brown and Mustard light Silk,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/kesari-sunset-chiffon-saree,1,Kesari Sunset Chiffon Saree,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Tangerine Noir Floral Border Weave | Rose Vine Stripe Chiffon Saree | StretchFit Blouse | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/magenta-mist-chiffon-drape,1,Magenta Mist Chiffon Drape,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Tangerine Noir Floral Border Weave | Rose Vine Stripe Chiffon Saree | StretchFit Blouse | StretchFit Blouse,no,no,Product template,No H1 correction identified.
/collection/green-chiffon-with-fancy-border,1,Mint Chiffon Garden Border Saree,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Tangerine Noir Floral Border Weave | Rose Vine Stripe Chiffon Saree | StretchFit Blouse | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/rani-pink-georgette-garden-party,1,Rani Pink Georgette,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Sunset Ombré Chiffon Draped Dream | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/midnight-zari-georgette,1,Midnight Gold Embroidered Georgette,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Sunset Ombré Chiffon Draped Dream | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/pressed-bloom-sheer-chiffon,1,Pressed Bloom Sheer Chiffon,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Tangerine Noir Floral Border Weave | Rose Vine Stripe Chiffon Saree | StretchFit Blouse | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/mayil-peacock-kanjivaram-mix,1,MAYIL,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
/collection/burnt-orange-temple-border-kanjivaram,1,Kanchipuram Burnt Orange Heirloom Silk,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
/collection/semmanjal-turmeric-gold-kanjeevaram,1,Semmanjal kanjivaram,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
/collection/thangam-golden-weave-kanjivaram,1,Thangam Golden Weave Kanjivaram,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
/collection/violet-bloom-cotton-drape,1,Violet Bloom Cotton Drape,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Sunset Ombré Chiffon Draped Dream | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse,no,no,,No H1 correction identified.
/collection/moss-green-lightweight-silk-selai,1,Soft Girl Selai Green,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | Coral Sunrise Chiffon Georgette Saree | Indigo & Plum Tied Silk Saree | Forest & Flame Tie Dye Silk | StretchFit Blouse,no,no,,No H1 correction identified.
/collection/heritage-zari-border-kanjivaram,1,Classic Gold Weave Kanjivaram,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
/collection/nava-pazham-kanjeevaram-silk,1,Nava Pazham,app/(site)/collection/[slug]/page.tsx,2,Not just pre-loved. Carefully re-stored. | Pieces from a similar chapter.,13,Story and provenance | Care and ownership | Measurements | Provenance | Condition | Textile | Measurements | Care | Shipping and ownership | StretchFit Blouse | StretchFit Blouse | Sleeveless Cerise Pink StretchFit Blouse | Sleeveless Marigold Orange StretchFit,no,no,,No H1 correction identified.
