PDF page name,PDF URL,Actual project URL,PDF H1,Actual H1,H1 match?,PDF title,Actual title,Title match?,PDF meta,Actual meta,Meta match?,PDF robots expectation,Actual robots,Robots match?,Status,Notes
FAQ,/faqs,/faqs,Pre-Loved Saree FAQs,Pre-Loved Saree FAQs,yes,Pre-Loved Saree FAQs | From The Trunk,Pre-Loved Saree FAQs | From The Trunk,yes,"Answers on authenticity, sizing, shipping, returns and consignment for pre-loved sarees at From The Trunk.","Answers on authenticity, sizing, shipping, returns and consignment for pre-loved sarees at From The Trunk.",yes,"index, follow; preserve visible FAQPage schema","index, follow",yes,Complete,PDF page 2; rendered production HTML wins where source and output differ.
Shipping & Delivery,/shipping,/policies/shipping-delivery-policy,Shipping & Delivery,Shipping & Delivery,yes,Shipping & Delivery | From The Trunk,Shipping & Delivery | From The Trunk,yes,"How From The Trunk packs and ships your pre-loved saree — timelines, coverage and what to expect.","How From The Trunk packs and ships your pre-loved saree — timelines, coverage and what to expect.",yes,"index, follow","index, follow",yes,Intentionally mapped,PDF page 2; rendered production HTML wins where source and output differ.
Packaging,/packing,/packing,Our Packaging,Our Packaging,yes,Packaging & Care | From The Trunk,Packaging & Care | From The Trunk,yes,How we wrap and protect every pre-loved saree for its journey to you.,How we wrap and protect every pre-loved saree for its journey to you.,yes,"index, follow","index, follow",yes,Complete,PDF page 2; rendered production HTML wins where source and output differ.
Returns & Exchanges,/returns,/policies/return-refund-policy,Returns & Exchanges,Returns & Exchanges,yes,Returns & Exchanges | From The Trunk,Returns & Exchanges | From The Trunk,yes,From The Trunk’s returns and exchange policy for pre-loved sarees — what’s covered and how it works.,From The Trunk's returns and exchange policy for pre-loved sarees — what's covered and how it works.,yes,"index, follow","index, follow",yes,Intentionally mapped,PDF page 3; rendered production HTML wins where source and output differ.
Privacy Policy,/privacy,/policies/privacy-policy,Privacy Policy,Privacy Policy,yes,Privacy Policy | From The Trunk,Privacy Policy | From The Trunk,yes,"How From The Trunk collects, uses and protects your personal information.","How From The Trunk collects, uses and protects your personal information.",yes,"index, follow","index, follow",yes,Intentionally mapped,PDF page 3; rendered production HTML wins where source and output differ.
Terms & Conditions,/terms,/policies/terms-of-service,Terms & Conditions,Terms & Conditions,yes,Terms & Conditions | From The Trunk,Terms & Conditions | From The Trunk,yes,The terms that apply when you shop with or consign to From The Trunk.,The terms that apply when you shop with or consign to From The Trunk.,yes,"index, follow","index, follow",yes,Intentionally mapped,PDF page 3; rendered production HTML wins where source and output differ.
Noindex utility /cart,/cart,/cart,Functional H1 accepted,Your trunk selection.,yes,No SEO-specific title required,Shopping Bag | From The Trunk,yes,No SEO-specific meta required,"Shop curated pre-loved sarees, heirloom silk sarees, designer drapes, and restored Indian textiles authenticated by From The Trunk.",yes,"noindex, follow","noindex, follow",yes,Complete,PDF page 3; rendered production HTML wins where source and output differ.
Noindex utility /checkout,/checkout,/checkout,Functional H1 accepted,Complete your trunk.,yes,No SEO-specific title required,Checkout | From The Trunk,yes,No SEO-specific meta required,"Shop curated pre-loved sarees, heirloom silk sarees, designer drapes, and restored Indian textiles authenticated by From The Trunk.",yes,"noindex, follow","noindex, follow",yes,Complete,PDF page 3; rendered production HTML wins where source and output differ.
Noindex utility /account,/account,/account,Functional H1 accepted,"Welcome, there.",yes,No SEO-specific title required,Account | From The Trunk,yes,No SEO-specific meta required,"Shop curated pre-loved sarees, heirloom silk sarees, designer drapes, and restored Indian textiles authenticated by From The Trunk.",yes,"noindex, follow","noindex, follow",yes,Complete,PDF page 3; rendered production HTML wins where source and output differ.
Noindex utility /account/wishlist,/account/wishlist,/account/wishlist,Functional H1 accepted,,yes,No SEO-specific title required,Account | From The Trunk,yes,No SEO-specific meta required,"Shop curated pre-loved sarees, heirloom silk sarees, designer drapes, and restored Indian textiles authenticated by From The Trunk.",yes,"noindex, follow","noindex, follow",yes,Complete,PDF page 3; rendered production HTML wins where source and output differ.
Noindex utility /search,/search,/search,Functional H1 accepted,Search the collection,yes,No SEO-specific title required,Search | From The Trunk,yes,No SEO-specific meta required,"Shop curated pre-loved sarees, heirloom silk sarees, designer drapes, and restored Indian textiles authenticated by From The Trunk.",yes,"noindex, follow","noindex, follow",yes,Complete,PDF page 3; rendered production HTML wins where source and output differ.
Noindex utility /checkout/confirmation,/checkout/confirmation,/checkout/confirmation,Functional H1 accepted,We could not load this order.,yes,No SEO-specific title required,Order Confirmed | From The Trunk,yes,No SEO-specific meta required,"Shop curated pre-loved sarees, heirloom silk sarees, designer drapes, and restored Indian textiles authenticated by From The Trunk.",yes,"noindex, follow","noindex, follow",yes,Complete,PDF page 3; rendered production HTML wins where source and output differ.
