URL/source file,Signal type,Signal value,Present/missing,SEO/AEO/GEO importance,Notes
/our-story,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-story,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-story,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-story,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-team,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-team,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-team,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-team,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-team,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-team,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-team,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-team,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/faqs,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/faqs,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/faqs,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/faqs,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/faqs,FAQPage,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/faqs,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/faqs,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/faqs,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/contact,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/contact,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/contact,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/contact,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/contact,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/contact,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/contact,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/contact,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/how-it-works,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/how-it-works,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/how-it-works,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/how-it-works,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/how-it-works,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/how-it-works,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/how-it-works,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/how-it-works,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/authentication,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/authentication,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/authentication,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/authentication,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/authentication,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/authentication,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/authentication,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/authentication,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/why,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/why,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/why,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/why,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/why,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/why,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/why,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/why,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/sell-your-saree,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/sell-your-saree,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/sell-your-saree,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/sell-your-saree,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/sell-your-saree,FAQPage,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/sell-your-saree,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/sell-your-saree,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/sell-your-saree,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/packing,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/packing,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/packing,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/packing,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/packing,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/packing,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/packing,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/packing,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/privacy-policy,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/privacy-policy,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/privacy-policy,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/privacy-policy,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/privacy-policy,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/privacy-policy,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/privacy-policy,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/privacy-policy,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/return-refund-policy,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/return-refund-policy,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/return-refund-policy,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/return-refund-policy,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/return-refund-policy,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/return-refund-policy,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/return-refund-policy,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/return-refund-policy,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/shipping-delivery-policy,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/shipping-delivery-policy,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/shipping-delivery-policy,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/shipping-delivery-policy,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/shipping-delivery-policy,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/shipping-delivery-policy,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/shipping-delivery-policy,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/shipping-delivery-policy,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/terms-of-service,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/terms-of-service,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/terms-of-service,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/terms-of-service,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/terms-of-service,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/terms-of-service,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/terms-of-service,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/terms-of-service,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/authentication-condition-policy,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/authentication-condition-policy,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/authentication-condition-policy,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/authentication-condition-policy,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/authentication-condition-policy,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/authentication-condition-policy,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/authentication-condition-policy,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/authentication-condition-policy,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/care-packaging-policy,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/care-packaging-policy,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/care-packaging-policy,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/care-packaging-policy,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/care-packaging-policy,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/care-packaging-policy,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/care-packaging-policy,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/care-packaging-policy,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/cancellation-policy,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/cancellation-policy,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/cancellation-policy,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/cancellation-policy,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/cancellation-policy,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/cancellation-policy,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/cancellation-policy,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/cancellation-policy,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/sell-with-us-policy,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/sell-with-us-policy,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/sell-with-us-policy,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/sell-with-us-policy,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/sell-with-us-policy,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/sell-with-us-policy,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/sell-with-us-policy,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/sell-with-us-policy,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/grievance-redressal,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/grievance-redressal,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/grievance-redressal,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/grievance-redressal,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/grievance-redressal,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/grievance-redressal,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/grievance-redressal,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/policies/grievance-redressal,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection/fabric/silk,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection/fabric/silk,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection/fabric/silk,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection/fabric/silk,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection/fabric/silk,FAQPage,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection/fabric/silk,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection/fabric/silk,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection/fabric/silk,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/blouses,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/blouses,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/blouses,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/blouses,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/blouses,FAQPage,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/blouses,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/blouses,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/blouses,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/what-is-a-pre-loved-saree,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/what-is-a-pre-loved-saree,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/what-is-a-pre-loved-saree,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/what-is-a-pre-loved-saree,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/what-is-a-pre-loved-saree,FAQPage,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/what-is-a-pre-loved-saree,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/what-is-a-pre-loved-saree,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/what-is-a-pre-loved-saree,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/pre-loved-vs-second-hand-saree,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/pre-loved-vs-second-hand-saree,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/pre-loved-vs-second-hand-saree,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/pre-loved-vs-second-hand-saree,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/pre-loved-vs-second-hand-saree,FAQPage,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/pre-loved-vs-second-hand-saree,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/guides/pre-loved-vs-second-hand-saree,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
