URL,Image src,Image file/source,Alt text,Alt text missing?,Decorative image?,Width/height if available,Lazy loading,Product image?,Open Graph image?,Issue,Recommendation
/,/_next/image?url=%2Fcategory%2FChiffon.JPG&w=1920&q=75,page-Lw-image-14,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fkanji_mix.JPG&w=1920&q=75,page-Lw-image-15,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2FOrganza.JPG&w=1920&q=75,page-Lw-image-16,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2FCotton_Silk.JPG&w=1920&q=75,page-Lw-image-17,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fgeorgette.jpg&w=1920&q=75,page-Lw-image-18,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fcotton.JPG&w=1920&q=75,page-Lw-image-19,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fkanjiverram.jpg&w=1920&q=75,page-Lw-image-20,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fsilk.JPG&w=1920&q=75,page-Lw-image-21,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2FKota_Cotton.jpg&w=1920&q=75,page-Lw-image-22,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2FChiffon.JPG&w=1920&q=75,page-Lw-image-23,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fkanji_mix.JPG&w=1920&q=75,page-Lw-image-24,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2FOrganza.JPG&w=1920&q=75,page-Lw-image-25,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2FCotton_Silk.JPG&w=1920&q=75,page-Lw-image-26,,no,yes,?x?,lazy,no/unknown,no,,
/,https://ll1rv51y3jxrt1nr.public.blob.vercel-storage.com/media/1782819027130-image-2-edited.jpg,page-Lw-image-27,Before the drape returns to the wardrobe.,no,no/unknown,?x?,lazy,no/unknown,no,,
/,https://ll1rv51y3jxrt1nr.public.blob.vercel-storage.com/media/1782814554143-chatgpt-image-jun-30-2026-01-13-21-pm.png,page-Lw-image-28,"One saree, many ways to carry presence.",no,no/unknown,?x?,lazy,no/unknown,no,,
/,https://ll1rv51y3jxrt1nr.public.blob.vercel-storage.com/media/1782807347365-chatgpt-image-jun-30-2026-01-38-35-pm.png,page-Lw-image-29,The detail that makes a piece remembered.,no,no/unknown,?x?,lazy,no/unknown,no,,
/,https://ll1rv51y3jxrt1nr.public.blob.vercel-storage.com/media/1782806177265-chatgpt-image-jun-30-2026-01-21-57-pm.png,page-Lw-image-30,A quiet statement from the trunk.,no,no/unknown,?x?,lazy,no/unknown,no,,
/,https://ll1rv51y3jxrt1nr.public.blob.vercel-storage.com/media/1782805475761-chatgpt-image-jun-30-2026-12-55-15-pm.png,page-Lw-image-31,"Pressed, checked, folded, and ready.",no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fhero%2Ftimeless.JPG&w=1920&q=75,page-Lw-image-32,A restored saree finding its next story.,no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776776510942-dsc00069-2.jpg&w=1920&q=75,page-Lw-image-33,Magenta Mist Chiffon Drape,no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776583599077-img-7369.jpg&w=1920&q=75,page-Lw-image-34,Mint Chiffon Garden Border Saree,no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776308348251-img-7236.jpg&w=1920&q=75,page-Lw-image-35,Rani Pink Georgette,no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1775973570941-img-2204.jpg&w=1920&q=75,page-Lw-image-36,Midnight Gold Embroidered Georgette,no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782819027130-image-2-edited.jpg&w=1920&q=75,page-Lw-image-37,StretchFit Blouse,no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782814554143-chatgpt-image-jun-30-2026-01-13-21-pm.png&w=1920&q=75,page-Lw-image-38,StretchFit Blouse,no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbGxlY3Rpb24-image-1,,no,yes,180x100,eager,no/unknown,no,,
/collection,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2NvbGxlY3Rpb24-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/collection,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2NvbGxlY3Rpb24-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/collection,/_next/image?url=%2Fbanner%2Fcollection_banner-mobile.webp&w=1920&q=75,page-L2NvbGxlY3Rpb24-image-4,From the Trunk collection banner,no,no/unknown,?x?,eager/unspecified,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1777030509883-img-6485.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-5,"Tangerine Noir Floral Border Weave, pre-loved Chiffon saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1777027742233-dsc09390.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-6,"Sunset Ombré Chiffon Draped Dream, pre-loved Georgette saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776949520533-2.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-7,"Indigo & Plum Tied Silk Saree, pre-loved Silk saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776949076846-img-6665-2.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-8,"Forest & Flame Tie Dye Silk, pre-loved Silk saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776948128636-img-6496.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-9,"Moonstone Cream Mauve Border Saree, pre-loved Organza saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776947766849-img-1763.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-10,"Marigold & Moss cotton, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776947396439-img-7308.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-11,"Midnight Garden Georgette Saree, pre-loved Georgette saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776939788221-img-1467.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-12,"Green Garden Silk Burgundy Zari Edge, pre-loved Silk saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776939158515-img-1609.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-13,"Pink Katan temple border, pre-loved Silk saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/collection,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776938527154-img-7278.jpg&w=1920&q=70,page-L2NvbGxlY3Rpb24-image-14,"Forest green silk black gold, pre-loved Silk saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3RvcC12aWV3ZWQ-image-1,,no,yes,180x100,eager,no/unknown,no,,
/top-viewed,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3RvcC12aWV3ZWQ-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3RvcC12aWV3ZWQ-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782819027130-image-2-edited.jpg&w=1920&q=70,page-L3RvcC12aWV3ZWQ-image-4,"StretchFit Blouse, pre-loved Cotton saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782814554143-chatgpt-image-jun-30-2026-01-13-21-pm.png&w=1920&q=70,page-L3RvcC12aWV3ZWQ-image-5,"StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1777030509883-img-6485.jpg&w=1920&q=70,page-L3RvcC12aWV3ZWQ-image-6,"Tangerine Noir Floral Border Weave, pre-loved Chiffon saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1775403328643-img-1431.jpg&w=1920&q=70,page-L3RvcC12aWV3ZWQ-image-7,"Kempu Pachai & Bandhani, pre-loved Silk saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=https%3A%2F%2Fll1rv51y3jxrt1nr.public.blob.vercel-storage.com%2Fmedia%2F1782807347365-chatgpt-image-jun-30-2026-01-38-35-pm.png&w=1920&q=70,page-L3RvcC12aWV3ZWQ-image-8,"Sleeveless Cerise Pink StretchFit Blouse, pre-loved saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776949520533-2.jpg&w=1920&q=70,page-L3RvcC12aWV3ZWQ-image-9,"Indigo & Plum Tied Silk Saree, pre-loved Silk saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/top-viewed,/_next/image?url=https%3A%2F%2Fnjufw8f4mlcjsl7g.public.blob.vercel-storage.com%2Fmedia%2F1776780569488-img-7408-3.jpg&w=1920&q=70,page-L3RvcC12aWV3ZWQ-image-10,"Red Blue Madras Check Cotton, pre-loved Cotton Silk saree from From the Trunk",no,no/unknown,?x?,lazy,no/unknown,no,,
/our-story,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L291ci1zdG9yeQ-image-1,,no,yes,180x100,eager,no/unknown,no,,
/our-story,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L291ci1zdG9yeQ-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/our-story,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L291ci1zdG9yeQ-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/our-story,/_next/image?url=%2Fcategory%2Fkanjiverram-lcp.webp&w=1920&q=75,page-L291ci1zdG9yeQ-image-4,,no,yes,?x?,eager/unspecified,no/unknown,no,,
/our-story,/_next/image?url=%2Fcategory%2Fsilk-lcp.webp&w=1920&q=75,page-L291ci1zdG9yeQ-image-5,A restored From the Trunk saree,no,no/unknown,?x?,lazy,no/unknown,no,,
/our-story,/_next/image?url=%2FFtt_logo_navbar.avif&w=512&q=75,page-L291ci1zdG9yeQ-image-6,From the Trunk,no,no/unknown,220x104,lazy,no/unknown,no,,
/our-team,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L291ci10ZWFt-image-1,,no,yes,180x100,eager,no/unknown,no,,
/our-team,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L291ci10ZWFt-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/our-team,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L291ci10ZWFt-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/our-team,/CoverPage.svg,page-L291ci10ZWFt-image-4,,no,yes,?x?,eager/unspecified,no/unknown,no,,
/faqs,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2ZhcXM-image-1,,no,yes,180x100,eager,no/unknown,no,,
/faqs,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2ZhcXM-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/faqs,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2ZhcXM-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/contact,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbnRhY3Q-image-1,,no,yes,180x100,eager,no/unknown,no,,
/contact,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2NvbnRhY3Q-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/contact,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2NvbnRhY3Q-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/how-it-works,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2hvdy1pdC13b3Jrcw-image-1,,no,yes,180x100,eager,no/unknown,no,,
/how-it-works,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2hvdy1pdC13b3Jrcw-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/how-it-works,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2hvdy1pdC13b3Jrcw-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/authentication,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2F1dGhlbnRpY2F0aW9u-image-1,,no,yes,180x100,eager,no/unknown,no,,
/authentication,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L2F1dGhlbnRpY2F0aW9u-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/authentication,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L2F1dGhlbnRpY2F0aW9u-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVz-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVz-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVz-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/why,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3doeQ-image-1,,no,yes,180x100,eager,no/unknown,no,,
/why,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3doeQ-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/why,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3doeQ-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/why,/_next/image?url=%2Four-story%2Fchap_1.avif&w=1920&q=75,page-L3doeQ-image-4,A pre-loved heritage saree from From the Trunk,no,no/unknown,?x?,eager/unspecified,no/unknown,no,,
/why,/_next/image?url=%2Fcategory%2Fgeorgette.jpg&w=1920&q=75,page-L3doeQ-image-5,A restored silk saree styled for a modern wardrobe,no,no/unknown,?x?,lazy,no/unknown,no,,
/why,/_next/image?url=%2Four-story%2Fchap_3.avif&w=1920&q=75,page-L3doeQ-image-6,A curated saree ready for its next chapter,no,no/unknown,?x?,lazy,no/unknown,no,,
/why,/_next/image?url=%2Fcategory%2Fgeorgette.jpg&w=1920&q=75,page-L3doeQ-image-7,A restored silk saree styled for a modern wardrobe,no,no/unknown,?x?,lazy,no/unknown,no,,
/sell-your-saree,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3NlbGwteW91ci1zYXJlZQ-image-1,,no,yes,180x100,eager,no/unknown,no,,
/sell-your-saree,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3NlbGwteW91ci1zYXJlZQ-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/sell-your-saree,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3NlbGwteW91ci1zYXJlZQ-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/packing,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BhY2tpbmc-image-1,,no,yes,180x100,eager,no/unknown,no,,
/packing,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BhY2tpbmc-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/packing,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BhY2tpbmc-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/privacy-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL3ByaXZhY3ktcG9saWN5-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/privacy-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL3ByaXZhY3ktcG9saWN5-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/privacy-policy,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL3ByaXZhY3ktcG9saWN5-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/return-refund-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL3JldHVybi1yZWZ1bmQtcG9saWN5-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/return-refund-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL3JldHVybi1yZWZ1bmQtcG9saWN5-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/return-refund-policy,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL3JldHVybi1yZWZ1bmQtcG9saWN5-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/shipping-delivery-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL3NoaXBwaW5nLWRlbGl2ZXJ5LXBvbGljeQ-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/shipping-delivery-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL3NoaXBwaW5nLWRlbGl2ZXJ5LXBvbGljeQ-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/shipping-delivery-policy,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL3NoaXBwaW5nLWRlbGl2ZXJ5LXBvbGljeQ-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/terms-of-service,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL3Rlcm1zLW9mLXNlcnZpY2U-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/terms-of-service,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL3Rlcm1zLW9mLXNlcnZpY2U-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/terms-of-service,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL3Rlcm1zLW9mLXNlcnZpY2U-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/authentication-condition-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL2F1dGhlbnRpY2F0aW9uLWNvbmRpdGlvbi1wb2xpY3k-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/authentication-condition-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL2F1dGhlbnRpY2F0aW9uLWNvbmRpdGlvbi1wb2xpY3k-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/authentication-condition-policy,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL2F1dGhlbnRpY2F0aW9uLWNvbmRpdGlvbi1wb2xpY3k-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/care-packaging-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL2NhcmUtcGFja2FnaW5nLXBvbGljeQ-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/care-packaging-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL2NhcmUtcGFja2FnaW5nLXBvbGljeQ-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/care-packaging-policy,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL2NhcmUtcGFja2FnaW5nLXBvbGljeQ-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/cancellation-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL2NhbmNlbGxhdGlvbi1wb2xpY3k-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/cancellation-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL2NhbmNlbGxhdGlvbi1wb2xpY3k-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/cancellation-policy,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL2NhbmNlbGxhdGlvbi1wb2xpY3k-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/sell-with-us-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL3NlbGwtd2l0aC11cy1wb2xpY3k-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/sell-with-us-policy,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL3NlbGwtd2l0aC11cy1wb2xpY3k-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/sell-with-us-policy,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL3NlbGwtd2l0aC11cy1wb2xpY3k-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/policies/grievance-redressal,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L3BvbGljaWVzL2dyaWV2YW5jZS1yZWRyZXNzYWw-image-1,,no,yes,180x100,eager,no/unknown,no,,
/policies/grievance-redressal,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-L3BvbGljaWVzL2dyaWV2YW5jZS1yZWRyZXNzYWw-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/policies/grievance-redressal,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-L3BvbGljaWVzL2dyaWV2YW5jZS1yZWRyZXNzYWw-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/collection/fabric/silk,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-L2NvbGxlY3Rpb24vZmFicmljL3NpbGs-image-1,,no,yes,180x100,eager,no/unknown,no,,
