URL,Primary apparent keyword,Secondary apparent keywords,Title keywords,Meta keywords/phrases,H1 keywords,H2/H3 keywords,Body top 20 words,Schema keywords,Product/fabric/occasion keywords,Keyword consistency score,Notes
/why,trunk,saree | fabric | just | never | pre-loved | memory,trunk,voice | led | story | experience | about | trunk | restores | authenticates | recirculates | pre-loved | luxury | sarees,saree | never | just | fabric,memory | craft | circular | each | piece | arrives | past | help | carry | forward | buy | pre-loved | choose | beauty | memory | pre-owned | re-stored | one-of-one | authenticated | care | packed | conscious,all (8) | first (8) | sarees (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | shipping (7) | soon (7),onlinestore | contactpoint | website | organization,sarees,60,Primary apparent term is weakly reinforced in rendered body copy.
/sell-your-saree,sarees,sell | trunk | old | saree | answer | consign,sell | old | sarees | online | trunk,pass | old | vintage | heirloom | sarees | trunk | learn | accept | review | process | works,sell | consign | sarees | second | story,careful | respectful | way | pass | saree | next | chapter | clear | path | handled | care | trunk | explore | next | part | trunk | everything | want | ask | first | authenticated | condition | noted | story-led | share | piece | review | care | prepared | sell | old | saree | sarees | submit | buy | every | old | saree,sarees (17) | all (8) | trunk (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | shipping (7),onlinestore | contactpoint | website | organization | breadcrumblist | listitem | listitem | webpage | organization | faqpage | question | answer | question | answer | question | answer,sarees,80,Primary apparent term is reinforced in rendered body copy.
/packing,packaging,care | trunk | saree | every | journey | packing,packaging | care | trunk,wrap | protect | every | pre-loved | saree | journey,packaging,prepared | care | comes | box | before | dispatch | receiving | saree | related | support,shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization,saree,60,Primary apparent term is weakly reinforced in rendered body copy.
/policies/privacy-policy,policy,privacy | trunk | information | security | collects | personal,privacy | policy | trunk,trunk | collects | uses | protects | personal | information,privacy | policy,information | collect | use | information | consent | withdrawal | sharing | information | payment | security | cookies | similar | technologies | data | retention | rights | children | privacy | security | third-party | links | updates | policy | contact | grievance,information (17) | cookies (16) | use (14) | website (11) | shipping (10) | all (9) | analytics (9) | payment (9) | sarees (9) | customers (8) | data (8) | order (8) | orders (8) | personal (8) | 100 (7) | 25 (7) | address (7) | checkout (7) | code (7) | coming (7),onlinestore | contactpoint | website | organization,,80,Primary apparent term is weakly reinforced in rendered body copy.
/policies/return-refund-policy,return,returns | exchanges | trunk | policy | refund | eligible,returns | exchanges | trunk,trunk | returns | exchange | policy | pre-loved | sarees | covered | works,returns | exchanges,return | window | return | eligible | return | eligible | condition | returned | item | request | return | return | approval | pickup | quality | check | after | return | refund | timeline | shipping | charges | exchanges | store | credit | damaged | missing | package | final | decision,return (19) | all (10) | item (10) | shipping (10) | after (8) | orders (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | delivery (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7),onlinestore | contactpoint | website | organization,sarees,220,Primary apparent term is reinforced in rendered body copy.
/policies/shipping-delivery-policy,delivery,shipping | trunk | timelines | coverage | expect | packs,shipping | delivery | trunk,trunk | packs | ships | pre-loved | saree | timelines | coverage | expect,shipping | delivery,processing | time | packaging | courier | partners | delivery | timelines | shipping | charges | tracking | delivery | attempts | international | shipping | lost | damaged | shipments | unboxing | recommendation,shipping (12) | all (9) | checkout (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization,saree,100,Primary apparent term is weakly reinforced in rendered body copy.
/policies/terms-of-service,terms,conditions | trunk | apply | consign | policies | service,terms | conditions | trunk,terms | apply | shop | consign | trunk,terms | conditions,about | ftt | product | information | colour | photography | pricing | orders | payments | account | wishlist | cart | intellectual | property | prohibited | use | limitation | liability | governing | law,use (11) | all (10) | orders (9) | checkout (8) | code (8) | sarees (8) | 100 (7) | 25 (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | order (7) | shipping (7) | soon (7),onlinestore | contactpoint | website | organization,,80,Primary apparent term is weakly reinforced in rendered body copy.
/policies/authentication-condition-policy,condition,authentication | policy | trunk | before | pre-loved | check,authentication | condition | policy | trunk,authenticate | grade | document | every | pre-loved | saree | before | listed,authentication | condition | policy,authentication | condition | check | condition | grades | pre-loved | character | final | check | before | dispatch | authenticity | guarantee,use (10) | all (9) | condition (8) | sarees (8) | shipping (8) | 100 (7) | 25 (7) | before (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7),onlinestore | contactpoint | website | organization,saree,100,Primary apparent term is reinforced in rendered body copy.
/policies/care-packaging-policy,care,packaging | policy | trunk | package | policies | pre-loved,care | packaging | policy | trunk,store | wear | care | pre-loved | saree | package,care | packaging | policy,general | care | storage | zari | delicate | fabrics | wearing | care | packaging | damage | after | delivery,all (9) | use (9) | checkout (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | shipping (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization,saree,120,Primary apparent term is weakly reinforced in rendered body copy.
/policies/cancellation-policy,cancellation,policy | trunk | dispatch | cancelled | order | policies,cancellation | policy | trunk,order | cancelled | trunk,cancellation | policy,cancellation | before | dispatch | cancellation | after | dispatch | unique | product | hold | cancellation | ftt | cancellation | charges,order (10) | all (9) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | shipping (7) | soon (7),onlinestore | contactpoint | website | organization,,140,Primary apparent term is weakly reinforced in rendered body copy.
/policies/sell-with-us-policy,policy,sell | us | trunk | submit | consignment | curation,sell | us | policy | trunk,submit | saree | trunk | consignment | curation,sell | us | policy,submit | submit | review | process | ownership | confirmation | pricing | commission | rejection | return | story | photography | rights | contact,all (9) | sarees (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | shipping (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization,saree,60,Primary apparent term is weakly reinforced in rendered body copy.
/policies/grievance-redressal,grievance,redressal | policy | trunk | acknowledge | grievances | policies,grievance | redressal | policy | trunk,reach | us | acknowledge | resolve | grievances,grievance | redressal | policy,customer | support | grievance | officer | complaint | acknowledgement | resolution | timeline | include | escalation,all (10) | shipping (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization,,100,Primary apparent term is weakly reinforced in rendered body copy.
/collection/fabric/silk,silk,listitem | pre-loved | trunk | sarees | saree | authenticated,pre-loved | silk | sarees | online | india | trunk,shop | authenticated | pre-loved | silk | sarees | trunk | restored | story-logged | ready | another | life,pre-loved | silk | sarees | authenticated | re-stored,questions | shoppers | ask | indigo | plum | tied | silk | saree | green | garden | silk | burgundy | zari | edge | teal | moody | silk | saree | rose | silk | red | blue | madras | check | cotton | midnight | kesari | cotton | drape | brown | mustard | light | silk | soft | girl | selai | green | nila | blue | gold | zari | silk | kempu | pachai | bandhani | silk | sarees | new | care | pre-loved | silk | saree,silk (14) | sarees (12) | arrival (10) | unique (10) | all (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7),onlinestore | contactpoint | website | organization | breadcrumblist | listitem | listitem | listitem | faqpage | question | answer | question | answer | itemlist | listitem | listitem | listitem | listitem | listitem | listitem | listitem | listitem | listitem | listitem,silk | sarees,80,Primary apparent term is reinforced in rendered body copy.
/blouses,pre-loved,saree | blouses | listitem | trunk | stretchfit | designer,pre-loved | saree | blouses | trunk,curated | pre-loved | designer | saree | blouses | complete | drape | authenticated | one-of-a-kind | pieces | trunk,pre-loved | designer | saree | blouses,questions | shoppers | ask | stretchfit | blouse | stretchfit | blouse | sleeveless | cerise | pink | stretchfit | blouse | sleeveless | marigold | orange | stretchfit | sleeveless | black | stretchfit | often | new | blouses | added,all (9) | soon (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | shipping (7) | first (6),onlinestore | contactpoint | website | organization | breadcrumblist | listitem | listitem | listitem | faqpage | question | answer | itemlist | listitem | listitem | listitem | listitem | listitem,saree | blouses | drape,80,Primary apparent term is weakly reinforced in rendered body copy.
/guides/what-is-a-pre-loved-saree,pre-loved,saree | trunk | clear | guide | sarees | answer,pre-loved | saree | trunk,clear | guide | pre-loved | sarees | mean | differ | ordinary | second-hand | pieces | trunk | prepares,pre-loved | saree,quiet | guide | choosing | caring | understanding | pre-loved | sarees | clear | path | handled | care | read | confidence | explore | next | part | trunk | everything | want | ask | first | authenticated | condition | noted | story-led | understand | piece | trust | process | choose | consciously | pre-loved | damaged | buy | pre-loved | saree,pre-loved (10) | saree (10) | sarees (9) | use (9) | all (8) | now (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first (7) | first25 (7) | free (7) | get (7) | grab (7) | occasional (7) | off (7) | orders (7),onlinestore | contactpoint | website | organization | breadcrumblist | listitem | listitem | article | organization | faqpage | question | answer | question | answer,saree | sarees,100,Primary apparent term is reinforced in rendered body copy.
/guides/pre-loved-vs-second-hand-saree,pre-loved,sarees | second-hand | vs | trunk | answer | condition,pre-loved | vs | second-hand | sarees | trunk,understand | pre-loved | sarees | differ | ordinary | second-hand | listings | especially | around | condition | provenance | curation,pre-loved | vs | second-hand | sarees,quiet | guide | choosing | caring | understanding | pre-loved | sarees | clear | path | handled | care | read | confidence | explore | next | part | trunk | everything | want | ask | first | authenticated | condition | noted | story-led | understand | piece | trust | process | choose | consciously | pre-loved | expensive | second-hand | search | pre-loved | second-hand | sarees,sarees (10) | use (9) | all (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | condition (7) | customers (7) | first (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | shipping (7),onlinestore | contactpoint | website | organization | breadcrumblist | listitem | listitem | article | organization | faqpage | question | answer | question | answer,sarees,100,Primary apparent term is weakly reinforced in rendered body copy.
/collection/tangerine-noir-floral-border-weave,border,tangerine | floral | noir | weave | saree | chiffon,tangerine | noir | floral | border | weave | pre-loved | chiffon | saree | trunk,tangerine | noir | floral | border | weave | one-of-a-kind | pre-loved | chiffon | saree | authenticated | trunk | shipped | provenance,tangerine | noir | floral | border | weave,just | pre-loved | carefully | re-stored | pieces | similar | chapter | story | provenance | care | ownership | measurements | provenance | condition | textile | measurements | care | shipping | ownership | rose | vine | stripe | chiffon | saree | stretchfit | blouse | stretchfit | blouse | sleeveless | cerise | pink | stretchfit | blouse,checkout (9) | shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization | product | brand | propertyvalue | propertyvalue | offer | organization | breadcrumblist | listitem | listitem | listitem,weave | chiffon | saree,80,Primary apparent term is weakly reinforced in rendered body copy.
/collection/sunset-ombr-chiffon-draped-dream,chiffon,draped | dream | sunset | ombré | pre-loved | saree,sunset | ombré | chiffon | draped | dream | pre-loved | georgette | saree | trunk,sunset | ombré | chiffon | draped | dream | one-of-a-kind | pre-loved | georgette | saree | authenticated | trunk | shipped | provenance,sunset | ombré | chiffon | draped | dream,just | pre-loved | carefully | re-stored | pieces | similar | chapter | story | provenance | care | ownership | measurements | provenance | condition | textile | measurements | care | shipping | ownership | stretchfit | blouse | stretchfit | blouse | sleeveless | cerise | pink | stretchfit | blouse | sleeveless | marigold | orange | stretchfit,checkout (9) | shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization | product | brand | propertyvalue | propertyvalue | offer | organization | breadcrumblist | listitem | listitem | listitem,chiffon | draped | georgette | saree,80,Primary apparent term is weakly reinforced in rendered body copy.
/collection/indigo-plum-tied-silk-saree,saree,silk | indigo | plum | tied | trunk | pre-loved,indigo | plum | tied | silk | saree | trunk,indigo | plum | tied | silk | saree | one-of-a-kind | pre-loved | silk | saree | authenticated | trunk | shipped | provenance,indigo | plum | tied | silk | saree,just | pre-loved | carefully | re-stored | pieces | similar | chapter | story | provenance | care | ownership | measurements | provenance | condition | textile | measurements | care | shipping | ownership | coral | sunrise | chiffon | georgette | saree | forest | flame | tie | dye | silk | stretchfit | blouse | stretchfit | blouse,checkout (9) | shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization | product | brand | propertyvalue | propertyvalue | offer | organization | breadcrumblist | listitem | listitem | listitem,silk | saree,80,Primary apparent term is weakly reinforced in rendered body copy.
/collection/forest-flame-tie-dye-silk,silk,saree | dye | tie | flame | forest | pre-loved,forest | flame | tie | dye | silk | pre-loved | silk | saree | trunk,forest | flame | tie | dye | silk | one-of-a-kind | pre-loved | silk | saree | authenticated | trunk | before | loom | shipped | provenance,forest | flame | tie | dye | silk,just | pre-loved | carefully | re-stored | pieces | similar | chapter | story | provenance | care | ownership | measurements | provenance | condition | textile | measurements | care | shipping | ownership | coral | sunrise | chiffon | georgette | saree | indigo | plum | tied | silk | saree | stretchfit | blouse | stretchfit | blouse,checkout (9) | shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization | product | brand | propertyvalue | propertyvalue | offer | organization | breadcrumblist | listitem | listitem | listitem,silk | saree,80,Primary apparent term is weakly reinforced in rendered body copy.
/collection/moonstone-cream-mauve-border-saree,saree,cream | border | mauve | moonstone | pre-loved | trunk,moonstone | cream | mauve | border | saree | pre-loved | organza | saree | trunk,moonstone | cream | mauve | border | saree | one-of-a-kind | pre-loved | organza | saree | authenticated | trunk | shipped | provenance,moonstone | cream | mauve | border | saree,just | pre-loved | carefully | re-stored | pieces | similar | chapter | story | provenance | care | ownership | measurements | provenance | condition | textile | measurements | care | shipping | ownership | stretchfit | blouse | stretchfit | blouse | sleeveless | cerise | pink | stretchfit | blouse | sleeveless | marigold | orange | stretchfit,checkout (9) | shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization | product | brand | propertyvalue | propertyvalue | offer | organization | breadcrumblist | listitem | listitem | listitem,saree | organza,80,Primary apparent term is weakly reinforced in rendered body copy.
/collection/marigold-moss-cotton,cotton,marigold | moss | saree | pre-loved | trunk | stretchfit,marigold | moss | cotton | pre-loved | cotton | saree | trunk,marigold | moss | cotton | one-of-a-kind | pre-loved | cotton | saree | authenticated | trunk | handwoven | fine | cotton | shipped | provenance,marigold | moss | cotton,just | pre-loved | carefully | re-stored | pieces | similar | chapter | story | provenance | care | ownership | measurements | provenance | condition | textile | measurements | care | shipping | ownership | stretchfit | blouse | sleeveless | cerise | pink | stretchfit | blouse | sleeveless | black | stretchfit | stretchfit | blouse,checkout (9) | shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization | product | brand | propertyvalue | propertyvalue | offer | organization | breadcrumblist | listitem | listitem | listitem,cotton | saree,80,Primary apparent term is weakly reinforced in rendered body copy.
/collection/midnight-garden-georgette-saree,saree,georgette | garden | midnight | trunk | pre-loved | blouse,midnight | garden | georgette | saree | trunk,midnight | garden | georgette | saree | one-of-a-kind | pre-loved | georgette | saree | authenticated | trunk | shipped | provenance,midnight | garden | georgette | saree,just | pre-loved | carefully | re-stored | pieces | similar | chapter | story | provenance | care | ownership | measurements | provenance | condition | textile | measurements | care | shipping | ownership | sunset | ombré | chiffon | draped | dream | stretchfit | blouse | stretchfit | blouse | sleeveless | cerise | pink | stretchfit | blouse,checkout (9) | shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization | product | brand | propertyvalue | propertyvalue | offer | organization | breadcrumblist | listitem | listitem | listitem,georgette | saree,80,Primary apparent term is weakly reinforced in rendered body copy.
/collection/verdant-bloom-silk-burgundy-gold-border,silk,burgundy | green | saree | zari | edge | garden,green | garden | silk | burgundy | zari | edge | pre-loved | silk | saree | trunk,green | garden | silk | burgundy | zari | edge | one-of-a-kind | pre-loved | silk | saree | authenticated | trunk | shipped | provenance,green | garden | silk | burgundy | zari | edge,just | pre-loved | carefully | re-stored | pieces | similar | chapter | story | provenance | care | ownership | measurements | provenance | condition | textile | measurements | care | shipping | ownership | coral | sunrise | chiffon | georgette | saree | indigo | plum | tied | silk | saree | forest | flame | tie | dye | silk | stretchfit | blouse,checkout (9) | shipping (9) | all (8) | use (8) | 100 (7) | 25 (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization | product | brand | propertyvalue | propertyvalue | offer | organization | breadcrumblist | listitem | listitem | listitem,silk | zari | saree,80,Primary apparent term is weakly reinforced in rendered body copy.
